id,Geographic Area Name,Total,Hispanic,Not Hispanic,NH White,NH Black,BH American Indian and Alaska Native alone,NH Asian alone,NH Native Hawaiian and Other Pacific Islander alone,NH Other,NH Two or more
0500000US48199,"Hardin County, Texas",55993,3003,52990,48723,3151,139,264,25,50,638
0500000US48207,"Haskell County, Texas",5806,1605,4201,3822,182,32,43,0,11,111
0500000US48227,"Howard County, Texas",36491,15030,21461,18262,1891,247,288,21,4,748
0500000US48289,"Leon County, Texas",16966,2405,14561,12986,1218,99,126,31,6,95
0500000US48333,"Mills County, Texas",4887,892,3995,3971,11,0,3,0,0,10
0500000US48337,"Montague County, Texas",19406,2072,17334,16748,41,50,19,0,0,476
0500000US48351,"Newton County, Texas",14187,490,13697,10442,3024,28,12,0,0,191
0500000US48365,"Panola County, Texas",23574,2017,21557,17311,3844,12,150,10,0,230
0500000US48389,"Reeves County, Texas",14791,11096,3695,2693,661,54,168,0,34,85
0500000US48403,"Sabine County, Texas",10429,422,10007,8977,789,0,10,0,52,179
0500000US48421,"Sherman County, Texas",3067,1327,1740,1712,8,7,0,0,0,13
0500000US48437,"Swisher County, Texas",7541,3253,4288,3584,429,41,14,5,13,202
0500000US48231,"Hunt County, Texas",90322,13837,76485,65807,7044,716,1076,44,51,1747
0500000US48063,"Camp County, Texas",12670,3034,9636,7168,2140,49,40,0,0,239
0500000US48195,"Hansford County, Texas",5532,2569,2963,2950,4,6,0,0,0,3
0500000US48187,"Guadalupe County, Texas",150889,56319,94570,77499,10668,304,2497,36,433,3133
0500000US48077,"Clay County, Texas",10369,587,9782,9370,56,126,29,0,0,201
0500000US48205,"Hartley County, Texas",5821,1527,4294,3467,490,1,81,0,48,207
0500000US48217,"Hill County, Texas",35098,7017,28081,25038,2210,85,102,70,5,571
0500000US48293,"Limestone County, Texas",23480,4994,18486,13905,4140,66,156,0,50,169
0500000US48347,"Nacogdoches County, Texas",65411,12372,53039,39199,11221,172,1072,0,17,1358
0500000US48369,"Parmer County, Texas",9871,6161,3710,3468,161,14,22,0,0,45
0500000US48367,"Parker County, Texas",125963,14461,111502,106370,1642,622,613,52,132,2071
0500000US48377,"Presidio County, Texas",7191,5854,1337,979,0,0,358,0,0,0
0500000US48465,"Val Verde County, Texas",48976,39855,9121,7811,534,64,269,48,0,395
0500000US48109,"Culberson County, Texas",2257,1821,436,392,8,0,6,0,0,30
0500000US48135,"Ector County, Texas",155744,91475,64269,53705,6451,283,1628,26,238,1938
0500000US48169,"Garza County, Texas",6739,3639,3100,2726,300,6,38,0,7,23
0500000US48173,"Glasscock County, Texas",1420,576,844,844,0,0,0,0,0,0
0500000US48185,"Grimes County, Texas",27358,6468,20890,16051,4259,71,28,0,13,468
0500000US48453,"Travis County, Texas",1176584,398398,778186,580292,92653,1875,74442,439,2250,26235
0500000US48085,"Collin County, Texas",914075,137871,776204,540387,84259,2858,123495,568,2377,22260
0500000US48005,"Angelina County, Texas",87700,18871,68829,53704,12878,60,933,9,94,1151
0500000US48087,"Collingsworth County, Texas",3026,946,2080,1824,105,129,4,0,0,18
0500000US48101,"Cottle County, Texas",1498,490,1008,803,153,5,0,0,32,15
0500000US48209,"Hays County, Texas",194843,73608,121235,107718,6784,428,2503,85,410,3307
0500000US48279,"Lamb County, Texas",13368,7347,6021,5319,484,39,72,0,0,107
0500000US48295,"Lipscomb County, Texas",3495,1046,2449,2308,13,24,25,1,2,76
0500000US48301,"Loving County, Texas",74,12,62,55,0,4,0,0,0,3
0500000US48321,"Matagorda County, Texas",36744,15230,21514,16503,3741,160,731,42,0,337
0500000US48371,"Pecos County, Texas",15804,10822,4982,4094,654,87,66,9,20,52
0500000US48395,"Robertson County, Texas",16727,3382,13345,9682,3299,41,45,18,10,250
0500000US48397,"Rockwall County, Texas",90414,15419,74995,65357,5437,201,2195,0,41,1764
0500000US48401,"Rusk County, Texas",53026,8559,44467,34304,9029,101,243,0,30,760
0500000US48441,"Taylor County, Texas",135371,32219,103152,87366,10018,670,2612,73,192,2221
0500000US48447,"Throckmorton County, Texas",1541,244,1297,1271,2,0,5,0,0,19
0500000US48455,"Trinity County, Texas",14481,1347,13134,11454,1382,44,52,0,0,202
0500000US48471,"Walker County, Texas",70818,12584,58234,40319,16198,245,859,10,28,575
0500000US48499,"Wood County, Texas",43315,4167,39148,36029,2389,260,38,34,49,349
0500000US48019,"Bandera County, Texas",21316,3836,17480,16788,213,48,47,0,16,368
0500000US48007,"Aransas County, Texas",24832,6714,18118,16803,390,6,500,0,26,393
0500000US48075,"Childress County, Texas",7064,1536,5528,4525,512,68,102,242,0,79
0500000US48079,"Cochran County, Texas",2932,1672,1260,1104,77,6,0,0,0,73
0500000US48081,"Coke County, Texas",3238,682,2556,2490,21,20,5,0,0,20
0500000US48091,"Comal County, Texas",129100,34565,94535,88661,2547,124,1344,44,132,1683
0500000US48099,"Coryell County, Texas",75818,13459,62359,45085,10391,456,1338,560,25,4504
0500000US48211,"Hemphill County, Texas",4152,1461,2691,2568,31,16,13,0,0,63
0500000US48225,"Houston County, Texas",22849,2439,20410,14155,5694,36,87,0,35,403
0500000US48341,"Moore County, Texas",22016,11920,10096,7410,700,59,1735,0,0,192
0500000US48349,"Navarro County, Texas",48239,12647,35592,27631,6323,153,302,498,25,660
0500000US48375,"Potter County, Texas",121230,45560,75670,54757,11301,328,6343,85,89,2767
0500000US48405,"San Augustine County, Texas",8403,584,7819,5783,1746,128,0,0,0,162
0500000US48415,"Scurry County, Texas",17346,6891,10455,9306,784,21,38,0,30,276
0500000US48417,"Shackelford County, Texas",3348,391,2957,2867,6,10,6,0,0,68
0500000US48427,"Starr County, Texas",63420,62903,517,403,24,9,57,0,10,14
0500000US48433,"Stonewall County, Texas",1084,246,838,787,38,0,0,0,0,13
0500000US48461,"Upton County, Texas",3575,1778,1797,1537,238,4,9,0,3,6
0500000US48021,"Bastrop County, Texas",80306,28883,51423,43147,6219,353,686,0,368,650
0500000US48049,"Brown County, Texas",37787,8119,29668,27465,1369,92,238,0,3,501
0500000US48191,"Hall County, Texas",3102,1060,2042,1760,231,3,15,0,0,33
0500000US48025,"Bee County, Texas",32729,19058,13671,10555,2697,151,155,3,27,83
0500000US48159,"Franklin County, Texas",10639,1479,9160,8468,481,57,5,12,0,137
0500000US48163,"Frio County, Texas",19110,15006,4104,3140,679,0,120,0,81,84
0500000US48103,"Crane County, Texas",4836,3036,1800,1591,201,3,0,0,0,5
0500000US48281,"Lampasas County, Texas",20473,3935,16538,14916,621,84,226,211,40,440
0500000US48307,"McCulloch County, Texas",8145,2571,5574,5067,161,1,0,0,202,143
0500000US48319,"Mason County, Texas",4122,1001,3121,2962,1,12,103,0,0,43
0500000US48125,"Dickens County, Texas",2224,614,1610,1528,69,7,2,0,0,4
0500000US48287,"Lee County, Texas",16850,3916,12934,10731,1853,0,144,0,27,179
0500000US48439,"Tarrant County, Texas",1983675,559025,1424650,959103,308577,5443,100560,3298,3539,44130
0500000US48001,"Anderson County, Texas",57747,9981,47766,34468,12075,160,314,22,11,716
0500000US48139,"Ellis County, Texas",164092,41791,122301,102697,14640,419,1104,68,156,3217
0500000US48239,"Jackson County, Texas",14756,4760,9996,8765,1049,0,44,14,0,124
0500000US48265,"Kerr County, Texas",50761,13263,37498,35478,719,101,494,18,10,678
0500000US48331,"Milam County, Texas",24479,6306,18173,15408,2063,34,122,0,10,536
0500000US48093,"Comanche County, Texas",13492,3677,9815,9504,90,62,81,0,1,77
0500000US48145,"Falls County, Texas",17289,3939,13350,8909,4196,39,32,16,0,158
0500000US48047,"Brooks County, Texas",7251,6824,427,417,5,0,0,0,0,5
0500000US48015,"Austin County, Texas",29292,7598,21694,18533,2601,11,58,0,28,463
0500000US48261,"Kenedy County, Texas",564,499,65,64,0,0,1,0,0,0
0500000US48355,"Nueces County, Texas",358484,225811,132673,108703,12915,806,6823,220,229,2977
0500000US48089,"Colorado County, Texas",20913,6045,14868,11918,2727,30,14,0,0,179
0500000US48409,"San Patricio County, Texas",66867,38004,28863,26351,992,115,669,14,10,712
0500000US48379,"Rains County, Texas",11246,973,10273,9653,172,109,9,0,0,330
0500000US48381,"Randall County, Texas",130552,26314,104238,95851,3596,517,1906,103,90,2175
0500000US48385,"Real County, Texas",3358,664,2694,2685,7,0,1,0,0,1
0500000US48411,"San Saba County, Texas",5851,1739,4112,3823,161,0,1,0,0,127
0500000US48413,"Schleicher County, Texas",3122,1618,1504,1489,9,0,4,0,0,2
0500000US48431,"Sterling County, Texas",1139,465,674,654,3,0,0,0,0,17
0500000US48507,"Zavala County, Texas",12152,11374,778,660,61,11,4,0,0,42
0500000US48057,"Calhoun County, Texas",21821,10503,11318,9426,567,13,1079,14,0,219
0500000US48065,"Carson County, Texas",6033,586,5447,5215,39,23,32,13,0,125
0500000US48155,"Foard County, Texas",1414,306,1108,1077,31,0,0,0,0,0
0500000US48161,"Freestone County, Texas",19646,2891,16755,13269,3164,30,72,0,0,220
0500000US48175,"Goliad County, Texas",7510,2675,4835,4401,400,0,12,0,0,22
0500000US48193,"Hamilton County, Texas",8220,987,7233,6994,55,58,16,0,0,110
0500000US48197,"Hardeman County, Texas",3990,850,3140,2738,277,16,19,0,0,90
0500000US48335,"Mitchell County, Texas",8774,3446,5328,4270,902,30,33,0,0,93
0500000US48449,"Titus County, Texas",32664,13749,18915,15121,2970,75,253,0,13,483
0500000US48045,"Briscoe County, Texas",1591,513,1078,964,27,0,0,16,0,71
0500000US48285,"Lavaca County, Texas",19859,3593,16266,14750,1312,8,74,0,3,119
0500000US48291,"Liberty County, Texas",79884,17488,62396,52576,7972,269,454,5,65,1055
0500000US48445,"Terry County, Texas",12755,6858,5897,5203,592,31,0,0,0,71
0500000US48497,"Wise County, Texas",63247,11859,51388,49012,752,239,314,111,8,952
0500000US48143,"Erath County, Texas",41016,8439,32577,30923,673,200,314,15,12,440
0500000US48039,"Brazoria County, Texas",345995,102715,243280,169835,44790,1054,21494,7,443,5657
0500000US48345,"Motley County, Texas",1114,182,932,852,39,0,0,0,11,30
0500000US48129,"Donley County, Texas",3433,365,3068,2809,126,23,16,0,0,94
0500000US48013,"Atascosa County, Texas",48139,30585,17554,16480,353,55,186,0,12,468
0500000US48083,"Coleman County, Texas",8422,1465,6957,6512,231,64,70,0,0,80
0500000US48353,"Nolan County, Texas",14990,5456,9534,8548,733,59,42,0,0,152
0500000US48229,"Hudspeth County, Texas",3702,2901,801,684,55,0,44,0,0,18
0500000US48325,"Medina County, Texas",48548,24884,23664,21624,1140,163,303,8,0,426
0500000US48475,"Ward County, Texas",11498,6001,5497,4758,553,64,32,0,15,75
0500000US48213,"Henderson County, Texas",79687,9668,70019,62894,5224,684,528,53,33,603
0500000US48203,"Harrison County, Texas",66606,8467,58139,42506,14192,209,468,27,33,704
0500000US48327,"Menard County, Texas",2123,792,1331,1252,13,12,0,0,0,54
0500000US48277,"Lamar County, Texas",49401,3689,45712,37039,6093,152,437,148,7,1836
0500000US48149,"Fayette County, Texas",24963,5098,19865,17951,1489,13,182,0,0,230
0500000US48491,"Williamson County, Texas",508313,122387,385926,309652,30364,962,30611,323,896,13118
0500000US48267,"Kimble County, Texas",4432,1049,3383,3295,1,21,0,0,15,51
0500000US48317,"Martin County, Texas",5547,2500,3047,2977,36,26,0,5,0,3
0500000US48373,"Polk County, Texas",46974,6946,40028,33325,4895,694,289,61,42,722
0500000US48391,"Refugio County, Texas",7293,3626,3667,3084,363,8,5,0,0,207
0500000US48467,"Van Zandt County, Texas",53607,5510,48097,45206,1406,294,249,57,22,863
0500000US48055,"Caldwell County, Texas",40544,20537,20007,16661,2458,86,393,23,0,386
0500000US48487,"Wilbarger County, Texas",12972,3710,9262,7708,1034,95,119,0,15,291
0500000US48383,"Reagan County, Texas",3735,2620,1115,1078,27,0,0,0,0,10
0500000US48501,"Yoakum County, Texas",8481,5516,2965,2813,0,13,3,0,0,136
0500000US48189,"Hale County, Texas",34527,20291,14236,11938,1522,23,83,9,26,635
0500000US48419,"Shelby County, Texas",25689,4580,21109,15961,4837,40,140,21,7,103
0500000US48387,"Red River County, Texas",12353,897,11456,9035,2176,27,1,0,0,217
0500000US48399,"Runnels County, Texas",10266,3474,6792,6394,134,37,109,0,5,113
0500000US48407,"San Jacinto County, Texas",27436,3433,24003,20537,2932,131,2,0,0,401
0500000US48435,"Sutton County, Texas",3894,2314,1580,1528,3,0,0,40,0,9
0500000US48451,"Tom Green County, Texas",116906,45407,71499,63505,4682,215,1338,45,137,1577
0500000US48459,"Upshur County, Texas",40506,3263,37243,32704,3611,298,91,0,136,403
0500000US48469,"Victoria County, Texas",91518,42139,49379,41590,5331,137,971,0,171,1179
0500000US48473,"Waller County, Texas",48443,14230,34213,20853,12041,36,351,20,66,846
0500000US48481,"Wharton County, Texas",41430,16682,24748,18756,5725,28,38,0,33,168
0500000US48485,"Wichita County, Texas",131778,24423,107355,87142,13018,773,2668,48,477,3229
0500000US48493,"Wilson County, Texas",47205,18488,28717,27225,634,85,163,32,57,521
0500000US48033,"Borden County, Texas",602,46,556,556,0,0,0,0,0,0
0500000US48219,"Hockley County, Texas",23273,10921,12352,11112,849,131,45,12,8,195
0500000US48315,"Marion County, Texas",10140,394,9746,7187,2402,34,0,17,0,106
0500000US48323,"Maverick County, Texas",57471,54767,2704,1521,129,666,253,32,64,39
0500000US48329,"Midland County, Texas",159883,69124,90759,75630,9374,608,2913,74,146,2014
0500000US48181,"Grayson County, Texas",126146,15999,110147,96360,6995,1614,1665,62,217,3234
0500000US48297,"Live Oak County, Texas",12043,4669,7374,6941,293,0,78,0,0,62
0500000US48299,"Llano County, Texas",20195,1983,18212,17593,150,28,77,0,1,363
0500000US48363,"Palo Pinto County, Texas",28109,5539,22570,21203,681,175,177,24,34,276
0500000US48147,"Fannin County, Texas",33787,3580,30207,26834,2189,150,224,18,21,771
0500000US48255,"Karnes County, Texas",15051,7965,7086,5684,1316,15,16,0,0,55
0500000US48123,"DeWitt County, Texas",20474,7062,13412,11383,1852,0,1,0,0,176
0500000US48041,"Brazos County, Texas",214231,53696,160535,121439,21819,238,12857,83,214,3885
0500000US48059,"Callahan County, Texas",13660,1249,12411,11862,201,8,33,0,0,307
0500000US48067,"Cass County, Texas",30118,1306,28812,23015,5106,4,128,14,2,543
0500000US48165,"Gaines County, Texas",19889,8066,11823,11198,452,28,91,8,31,15
0500000US48183,"Gregg County, Texas",123402,22449,100953,71967,24790,385,1679,64,138,1930
0500000US48179,"Gray County, Texas",22962,6412,16550,14807,981,203,162,21,0,376
0500000US48313,"Madison County, Texas",13979,3134,10845,7794,2428,17,159,22,0,425
0500000US48303,"Lubbock County, Texas",298042,102770,195272,162449,20465,1051,6110,196,320,4681
0500000US48237,"Jack County, Texas",8839,1439,7400,6889,395,33,11,0,12,60
0500000US48257,"Kaufman County, Texas",114852,22817,92035,76486,11926,491,1239,67,166,1660
0500000US48259,"Kendall County, Texas",40306,9285,31021,29661,278,12,289,33,0,748
0500000US48035,"Bosque County, Texas",17955,3154,14801,14127,246,59,57,0,0,312
0500000US48153,"Floyd County, Texas",5953,3440,2513,2258,149,12,15,0,0,79
0500000US48029,"Bexar County, Texas",1892004,1130949,761055,537451,133212,2866,49745,1772,2844,33165
0500000US48017,"Bailey County, Texas",7098,4447,2651,2459,108,5,63,16,0,0
0500000US48071,"Chambers County, Texas",39283,8396,30887,26720,3154,42,506,0,0,465
0500000US48023,"Baylor County, Texas",3602,365,3237,3020,116,0,0,0,0,101
0500000US48027,"Bell County, Texas",336506,80846,255660,158932,70588,977,9378,2348,325,13112
0500000US48061,"Cameron County, Texas",420201,375256,44945,39240,1560,514,2706,19,150,756
0500000US48121,"Denton County, Texas",781321,149286,632035,475452,70796,2289,60788,579,1602,20529
0500000US48361,"Orange County, Texas",83909,5946,77963,68273,6928,240,946,3,78,1495
0500000US48233,"Hutchinson County, Texas",21704,4887,16817,15474,431,286,120,69,6,431
0500000US48477,"Washington County, Texas",34667,5372,29295,22344,5882,93,612,41,0,323
0500000US48343,"Morris County, Texas",12530,1148,11382,8159,2953,46,13,8,0,203
0500000US48429,"Stephens County, Texas",9365,2176,7189,6756,204,58,44,0,20,107
0500000US48495,"Winkler County, Texas",7777,4619,3158,2870,181,67,0,0,0,40
0500000US48201,"Harris County, Texas",4525519,1910535,2614984,1386576,838285,8078,307109,2543,9681,62712
0500000US48003,"Andrews County, Texas",17577,9737,7840,7229,265,16,37,9,0,284
0500000US48053,"Burnet County, Texas",45017,9857,35160,33365,696,276,328,0,0,495
0500000US48171,"Gillespie County, Texas",25939,5849,20090,19614,20,3,31,0,0,422
0500000US48177,"Gonzales County, Texas",20558,10293,10265,8703,1369,14,36,5,0,138
0500000US48113,"Dallas County, Texas",2552213,1011374,1540839,771258,563220,4450,152045,1098,4485,44283
0500000US48305,"Lynn County, Texas",5785,2728,3057,2853,77,27,15,0,0,85
0500000US48311,"McMullen County, Texas",600,303,297,292,0,5,0,0,0,0
0500000US48503,"Young County, Texas",18166,3283,14883,14306,271,94,75,0,0,137
0500000US48505,"Zapata County, Texas",14415,13560,855,753,0,0,102,0,0,0
0500000US48251,"Johnson County, Texas",160173,32475,127698,117957,4506,664,1219,588,91,2673
0500000US48221,"Hood County, Texas",55418,6641,48777,46999,384,482,446,0,0,466
0500000US48223,"Hopkins County, Texas",35929,5859,30070,26577,2390,74,254,27,35,713
0500000US48309,"McLennan County, Texas",245720,63010,182710,139446,34865,465,3713,32,269,3920
0500000US48357,"Ochiltree County, Texas",10484,5553,4931,4662,18,69,20,0,0,162
0500000US48269,"King County, Texas",289,77,212,212,0,0,0,0,0,0
0500000US48275,"Knox County, Texas",3753,1255,2498,2228,225,5,6,0,0,34
0500000US48073,"Cherokee County, Texas",51594,11605,39989,31603,6991,264,302,0,12,817
0500000US48095,"Concho County, Texas",3858,2046,1812,1731,26,4,38,0,0,13
0500000US48119,"Delta County, Texas",5172,357,4815,4214,411,9,38,0,2,141
0500000US48137,"Edwards County, Texas",2111,1201,910,909,0,1,0,0,0,0
0500000US48133,"Eastland County, Texas",18278,2923,15355,14595,411,76,44,0,0,229
0500000US48253,"Jones County, Texas",19969,5424,14545,10940,2892,28,59,0,43,583
0500000US48243,"Jeff Davis County, Texas",2236,810,1426,1361,15,3,33,0,0,14
0500000US48247,"Jim Hogg County, Texas",5262,4938,324,309,0,0,0,0,0,15
0500000US48249,"Jim Wells County, Texas",41318,33151,8167,7556,214,36,231,48,15,67
0500000US48339,"Montgomery County, Texas",535187,122934,412253,363190,23915,746,14823,462,673,8444
0500000US48111,"Dallam County, Texas",7207,3157,4050,3692,124,84,63,0,34,53
0500000US48127,"Dimmit County, Texas",10822,9362,1460,1429,6,0,21,0,0,4
0500000US48479,"Webb County, Texas",269624,257482,12142,9382,736,154,1343,25,175,327
0500000US48157,"Fort Bend County, Texas",711421,171949,539472,244432,143866,1351,136748,117,1091,11867
0500000US48011,"Armstrong County, Texas",1929,192,1737,1671,24,26,0,0,0,16
0500000US48069,"Castro County, Texas",7891,5039,2852,2595,54,6,93,2,10,92
0500000US48235,"Irion County, Texas",1592,364,1228,1153,51,0,0,0,0,24
0500000US48273,"Kleberg County, Texas",31540,22819,8721,6618,1098,40,632,0,45,288
0500000US48489,"Willacy County, Texas",21839,19208,2631,2415,142,2,22,3,0,47
0500000US48097,"Cooke County, Texas",39064,6774,32290,29844,976,259,337,60,25,789
0500000US48107,"Crosby County, Texas",5895,3266,2629,2358,218,0,0,0,0,53
0500000US48115,"Dawson County, Texas",13095,7390,5705,4752,740,52,112,3,0,46
0500000US48151,"Fisher County, Texas",3875,1156,2719,2575,111,0,19,4,0,10
0500000US48131,"Duval County, Texas",11434,10211,1223,1025,165,0,32,0,1,0
0500000US48051,"Burleson County, Texas",17596,3537,14059,11561,2169,31,59,0,0,239
0500000US48031,"Blanco County, Texas",11089,2119,8970,8601,1,0,64,0,0,304
0500000US48241,"Jasper County, Texas",35444,2294,33150,26482,5929,53,180,0,74,432
0500000US48245,"Jefferson County, Texas",254574,49725,204849,106135,85901,588,9264,105,159,2697
0500000US48271,"Kinney County, Texas",3631,2245,1386,1382,4,0,0,0,0,0
0500000US48359,"Oldham County, Texas",2083,322,1761,1579,117,1,2,0,0,62
0500000US48117,"Deaf Smith County, Texas",18947,13574,5373,4914,148,51,94,22,22,122
0500000US48167,"Galveston County, Texas",321184,76806,244378,186380,40304,832,10650,114,153,5945
0500000US48141,"El Paso County, Texas",834825,686173,148652,103880,25333,2344,8801,690,419,7185
0500000US48283,"La Salle County, Texas",7418,5928,1490,1308,92,0,10,0,0,80
0500000US48393,"Roberts County, Texas",889,66,823,805,0,0,4,0,0,14
0500000US48443,"Terrell County, Texas",721,406,315,239,23,5,0,0,0,48
0500000US48457,"Tyler County, Texas",21456,1564,19892,17081,2313,21,73,0,62,342
0500000US48463,"Uvalde County, Texas",27015,19158,7857,7325,40,108,275,2,0,107
0500000US48483,"Wheeler County, Texas",5599,1485,4114,3825,150,6,7,13,0,113
0500000US48037,"Bowie County, Texas",93635,6932,86703,60361,22371,792,892,16,30,2241
0500000US48009,"Archer County, Texas",8793,731,8062,7787,74,23,34,0,0,144
0500000US48043,"Brewster County, Texas",9220,4079,5141,4768,13,153,99,0,12,96
0500000US48263,"Kent County, Texas",680,147,533,524,5,4,0,0,0,0
0500000US48215,"Hidalgo County, Texas",839539,770794,68745,55339,3522,593,7953,115,202,1021
0500000US48423,"Smith County, Texas",222277,42128,180149,134122,38746,730,3497,231,246,2577
0500000US48425,"Somervell County, Texas",8650,1648,7002,6804,51,30,0,49,6,62
0500000US48105,"Crockett County, Texas",3836,2537,1299,1264,35,0,0,0,0,0