Name,Candidate,Party,Year,Election cycle,Amount,Race-Ethnicity
Robert Nichols,Robert Nichols,R,2010,2009-2010,383530.61,White
Robert Nichols,Robert Nichols,R,2011,2011-2012,333164.43,White
Robert Nichols,Robert Nichols,R,2012,2011-2012,722128.68,White
Robert Nichols,Robert Nichols,R,2013,2013-2014,374855.7,White
Robert Nichols,Robert Nichols,R,2014,2013-2014,545925.6,White
Roberto Alonzo,Roberto Alonzo,D,2009,2009-2010,23784,Hispanic
Roberto Alonzo,Roberto Alonzo,D,2010,2009-2010,68976.35,Hispanic
Roberto Alonzo,Roberto Alonzo,D,2011,2011-2012,28450,Hispanic
Roberto Alonzo,Roberto Alonzo,D,2012,2011-2012,45200,Hispanic
Roberto Alonzo,Roberto Alonzo,D,2013,2013-2014,40250,Hispanic
Roberto Alonzo,Roberto Alonzo,D,2014,2013-2014,82370.05,Hispanic
Rodney Anderson,Rodney Anderson,R,2010,2009-2010,210902.13,White
Rodney Anderson,Rodney Anderson,R,2011,2011-2012,112507.93,White
Rodney Ellis,Rodney Ellis,D,2009,2009-2010,155250,Black
Rodney Ellis,Rodney Ellis,D,2010,2009-2010,331959.62,Black
Rodney Ellis,Rodney Ellis,D,2011,2011-2012,141625,Black
Rodney Ellis,Rodney Ellis,D,2012,2011-2012,366724.68,Black
Rodney Ellis,Rodney Ellis,D,2013,2013-2014,111001,Black
Rodney Ellis,Rodney Ellis,D,2014,2013-2014,248508.38,Black
Roland Gutierrez,Roland Gutierrez,D,2009,2009-2010,36659.29,Hispanic
Roland Gutierrez,Roland Gutierrez,D,2010,2009-2010,125451.57,Hispanic
Roland Gutierrez,Roland Gutierrez,D,2011,2011-2012,49342.4,Hispanic
Roland Gutierrez,Roland Gutierrez,D,2012,2011-2012,139712.19,Hispanic
Roland Gutierrez,Roland Gutierrez,D,2013,2013-2014,18255,Hispanic
Roland Gutierrez,Roland Gutierrez,D,2014,2013-2014,74057.22,Hispanic
Ron Reynolds,Ron Reynolds,D,2010,2009-2010,66249.62,Black
Ron Reynolds,Ron Reynolds,D,2011,2011-2012,11940,Black
Ron Reynolds,Ron Reynolds,D,2012,2011-2012,32186.21,Black
Ron Reynolds,Ron Reynolds,D,2013,2013-2014,6520,Black
Ron Reynolds,Ron Reynolds,D,2014,2013-2014,9570,Black
Ron Simmons,Ron Simmons,R,2012,2011-2012,78488.59,White
Ron Simmons,Ron Simmons,R,2013,2013-2014,22827.67,White
Ron Simmons,Ron Simmons,R,2014,2013-2014,101407.73,White
Royce West,Royce West,D,2009,2009-2010,274633.8,Black
Royce West,Royce West,D,2010,2009-2010,559643.22,Black
Royce West,Royce West,D,2011,2011-2012,239906.48,Black
Royce West,Royce West,D,2012,2011-2012,649680.05,Black
Royce West,Royce West,D,2013,2013-2014,277467.38,Black
Royce West,Royce West,D,2014,2013-2014,505053.15,Black
Ruth Jones McClendon,Ruth Jones McClendon,D,2009,2009-2010,72275,Black
Ruth Jones McClendon,Ruth Jones McClendon,D,2010,2009-2010,88849.3,Black
Ruth Jones McClendon,Ruth Jones McClendon,D,2011,2011-2012,54624.75,Black
Ruth Jones McClendon,Ruth Jones McClendon,D,2012,2011-2012,116708.05,Black
Ruth Jones McClendon,Ruth Jones McClendon,D,2013,2013-2014,41650,Black
Ruth Jones McClendon,Ruth Jones McClendon,D,2014,2013-2014,177900,Black
Ryan Guillen,Ryan Guillen,D,2009,2009-2010,14250,Hispanic
Ryan Guillen,Ryan Guillen,D,2010,2009-2010,88400,Hispanic
Ryan Guillen,Ryan Guillen,D,2011,2011-2012,70004.99,Hispanic
Ryan Guillen,Ryan Guillen,D,2012,2011-2012,291779.16,Hispanic
Ryan Guillen,Ryan Guillen,D,2013,2013-2014,184237.35,Hispanic
Ryan Guillen,Ryan Guillen,D,2014,2013-2014,138250.66,Hispanic
Sarah Davis,Sarah Davis,R,2010,2009-2010,357552.18,White
Sarah Davis,Sarah Davis,R,2011,2011-2012,117163.25,White
Sarah Davis,Sarah Davis,R,2012,2011-2012,824376.43,White
Sarah Davis,Sarah Davis,R,2013,2013-2014,212058.16,White
Sarah Davis,Sarah Davis,R,2014,2013-2014,571181.94,White
Scott Hochberg,Scott Hochberg,D,2009,2009-2010,8280.7,White
Scott Hochberg,Scott Hochberg,D,2010,2009-2010,173889.45,White
Scott Hochberg,Scott Hochberg,D,2011,2011-2012,200,White
Scott Sanford,Scott Sanford,R,2012,2011-2012,116551.93,White
Scott Sanford,Scott Sanford,R,2013,2013-2014,49598.3,White
Scott Sanford,Scott Sanford,R,2014,2013-2014,46325,White
Scott Turner,Scott Turner,R,2012,2011-2012,227965.87,Black
Scott Turner,Scott Turner,R,2013,2013-2014,155011.79,Black
Scott Turner,Scott Turner,R,2014,2013-2014,129219,Black
Senfronia Thompson,Senfronia Thompson,D,2009,2009-2010,143244.94,Black
Senfronia Thompson,Senfronia Thompson,D,2010,2009-2010,290331.07,Black
Senfronia Thompson,Senfronia Thompson,D,2011,2011-2012,91353.3,Black
Senfronia Thompson,Senfronia Thompson,D,2012,2011-2012,321517.43,Black
Senfronia Thompson,Senfronia Thompson,D,2014,2013-2014,406470.66,Black
Sergio Munoz Jr.,Sergio Munoz Jr.,D,2010,2009-2010,194633.44,Hispanic
Sergio Munoz Jr.,Sergio Munoz Jr.,D,2011,2011-2012,96193.58,Hispanic
Sergio Munoz Jr.,Sergio Munoz Jr.,D,2012,2011-2012,91990,Hispanic
Sergio Munoz Jr.,Sergio Munoz Jr.,D,2013,2013-2014,122469.93,Hispanic
Sergio Munoz Jr.,Sergio Munoz Jr.,D,2014,2013-2014,202088.06,Hispanic
Sid Miller,Sid Miller,R,2009,2009-2010,12675,White
Sid Miller,Sid Miller,R,2010,2009-2010,105673.34,White
Sid Miller,Sid Miller,R,2011,2011-2012,20700,White
Solomon P. Ortiz Jr.,Solomon P. Ortiz Jr.,D,2009,2009-2010,69754.44,Hispanic
Stefani Carter,Stefani Carter,R,2010,2009-2010,1328721.5,Black
Stefani Carter,Stefani Carter,R,2011,2011-2012,96345,Black
Stefani Carter,Stefani Carter,R,2012,2011-2012,534337.06,Black
Stefani Carter,Stefani Carter,R,2013,2013-2014,298777.95,Black
Stephanie Klick,Stephanie Klick,R,2012,2011-2012,130515.49,White
Stephanie Klick,Stephanie Klick,R,2013,2013-2014,17450,White
Stephanie Klick,Stephanie Klick,R,2014,2013-2014,47200.06,White
Stephen Frost,Stephen Frost,D,2009,2009-2010,14900,White
Steve Ogden,Steve Ogden,D,2009,2009-2010,21675,White
Steve Ogden,Steve Ogden,D,2010,2009-2010,587572.41,White
Steve Toth,Steve Toth,D,2012,2011-2012,78585.97,White
Steve Toth,Steve Toth,D,2013,2013-2014,134738.63,White
Stuart Spitzer,Stuart Spitzer,D,2014,2013-2014,92252.55,White
Sylvester Turner,Sylvester Turner,D,2009,2009-2010,97700,Black
Sylvester Turner,Sylvester Turner,D,2010,2009-2010,247834.62,Black
Sylvester Turner,Sylvester Turner,D,2011,2011-2012,94095,Black
Sylvester Turner,Sylvester Turner,D,2012,2011-2012,200590,Black
Sylvester Turner,Sylvester Turner,D,2013,2013-2014,65000,Black
Sylvester Turner,Sylvester Turner,D,2014,2013-2014,823828.09,Black
Sylvia Garcia,Sylvia Garcia,D,2012,2011-2012,244086.33,Hispanic
Sylvia Garcia,Sylvia Garcia,D,2013,2013-2014,1518475.2,Hispanic
Sylvia Garcia,Sylvia Garcia,D,2014,2013-2014,313414.12,Hispanic
Tan Parker,Tan Parker,R,2009,2009-2010,53482,White
Tan Parker,Tan Parker,R,2010,2009-2010,138144.28,White
Tan Parker,Tan Parker,R,2011,2011-2012,98185,White
Tan Parker,Tan Parker,R,2012,2011-2012,153189.42,White
Tan Parker,Tan Parker,R,2013,2013-2014,101722.98,White
Tan Parker,Tan Parker,R,2014,2013-2014,196855.22,White
Tara Rios Ybarra,Tara Rios Ybarra,D,2009,2009-2010,158753.08,Hispanic
Terri Hodge,Terri Hodge,D,2009,2009-2010,49741.45,Black
Terry Canales,Terry Canales,D,2012,2011-2012,75023.12,Hispanic
Terry Canales,Terry Canales,D,2013,2013-2014,25800,Hispanic
Terry Canales,Terry Canales,D,2014,2013-2014,82570.1,Hispanic
Texans for Charles Schwertner,Charles Schwertner,R,2010,2009-2010,269689.9,White
Texans for Charles Schwertner,Charles Schwertner,R,2011,2011-2012,251914.29,White
Texans for Charles Schwertner,Charles Schwertner,R,2012,2011-2012,655229.28,White
Texans for Charles Schwertner,Charles Schwertner,R,2013,2013-2014,279970.26,White
Texans for Charles Schwertner,Charles Schwertner,R,2014,2013-2014,812656.9,White
Texans for Chris Paddie,Chris Paddie,R,2012,2011-2012,248818.54,White
Texans for Chris Paddie,Chris Paddie,R,2013,2013-2014,128292.77,White
Texans for Chris Paddie,Chris Paddie,R,2014,2013-2014,187068.03,White
Texans For Dade,Dade Phelan,R,2014,2013-2014,192815.66,White
Texans for Dan Branch,Dan Branch,R,2009,2009-2010,733324.04,White
Texans for Dan Branch,Dan Branch,R,2010,2009-2010,591409.31,White
Texans for Dan Branch,Dan Branch,R,2011,2011-2012,1021163.42,White
"Texans for Dan Gattis, Inc. (DISSOLVED)",Dan Gattis,R,2009,2009-2010,170590.05,White
Texans for Dan Patrick,Dan Patrick,R,2009,2009-2010,264359.58,White
Texans for Dan Patrick,Dan Patrick,R,2010,2009-2010,415716.3,White
Texans for Dan Patrick,Dan Patrick,R,2011,2011-2012,228500.85,White
Texans for Dan Patrick,Dan Patrick,R,2012,2011-2012,663090.71,White
Texans for Doug Miller,Doug Miller,R,2010,2009-2010,16950,White
Texans for Doug Miller,Doug Miller,R,2011,2011-2012,2000,White
Texans for Doug Miller,Doug Miller,R,2012,2011-2012,20350,White
Texans for Doug Miller,Doug Miller,R,2013,2013-2014,15300,White
Texans for Doug Miller,Doug Miller,R,2014,2013-2014,18500.66,White
Texans for Harvey Hilderbran,Harvey Hilderbran,R,2011,2011-2012,200667.61,White
Texans for Harvey Hilderbran,Harvey Hilderbran,R,2012,2011-2012,675529.93,White
Texans for Harvey Hilderbran,Harvey Hilderbran,R,2013,2013-2014,1095911.41,White
Texans for Jason Villalba,Jason Villalba,R,2012,2011-2012,909297.39,Hispanic
Texans for Jason Villalba,Jason Villalba,R,2013,2013-2014,172944.7,Hispanic
Texans for Jason Villalba,Jason Villalba,R,2014,2013-2014,243898.72,Hispanic
Texans for Jimmie Don Aycock (DISSOLVED),Jimmie Don Aycock,R,2012,2011-2012,66050,White
Texans for Joan Huffman,Joan Huffman,R,2009,2009-2010,188045.78,White
Texans for Joan Huffman,Joan Huffman,R,2010,2009-2010,349938.34,White
Texans for Joan Huffman,Joan Huffman,R,2011,2011-2012,114075,White
Texans for Joan Huffman,Joan Huffman,R,2012,2011-2012,364603.21,White
Texans for Joan Huffman,Joan Huffman,R,2013,2013-2014,136600.66,White
Texans for Joan Huffman,Joan Huffman,R,2014,2013-2014,644934.87,White
Texans for John Davis (DISSOLVED),John Davis,R,2009,2009-2010,59350,White
Texans for John Davis (DISSOLVED),John Davis,R,2010,2009-2010,195525.52,White
Texans for John Davis (DISSOLVED),John Davis,R,2011,2011-2012,24225,White
Texans for John Davis (DISSOLVED),John Davis,R,2012,2011-2012,196094.28,White
Texans for John Davis (DISSOLVED),John Davis,R,2013,2013-2014,2350,White
Texans for Kelly Hancock SPAC,Kelly Hancock,R,2011,2011-2012,391435,White
Texans for Kelly Hancock SPAC,Kelly Hancock,R,2012,2011-2012,1217568.16,White
Texans for Kelly Hancock SPAC,Kelly Hancock,R,2013,2013-2014,191744.62,White
Texans for Kelly Hancock SPAC,Kelly Hancock,R,2014,2013-2014,541833.51,White
Texans for Rodney Anderson,Rodney Anderson,R,2014,2013-2014,512625.43,White
Texans for Tommy Williams,Tommy Williams,R,2009,2009-2010,252853.31,White
Texans for Tommy Williams,Tommy Williams,R,2010,2009-2010,619920.69,White
Texans for Tommy Williams,Tommy Williams,R,2011,2011-2012,265501,White
Texans for Tommy Williams,Tommy Williams,R,2012,2011-2012,1268092.35,White
Texans for Tommy Williams,Tommy Williams,R,2013,2013-2014,36200,White
Tim Kleinschmidt,Tim Kleinschmidt,R,2009,2009-2010,23855,White
Tim Kleinschmidt,Tim Kleinschmidt,R,2010,2009-2010,531715.15,White
Tim Kleinschmidt,Tim Kleinschmidt,R,2011,2011-2012,19805,White
Tim Kleinschmidt,Tim Kleinschmidt,R,2012,2011-2012,108897.56,White
Tim Kleinschmidt,Tim Kleinschmidt,R,2013,2013-2014,28945,White
Tim Kleinschmidt,Tim Kleinschmidt,R,2014,2013-2014,71537.02,White
Todd A. Hunter,Todd A. Hunter,R,2009,2009-2010,372549.35,White
Todd A. Hunter,Todd A. Hunter,R,2010,2009-2010,547547.99,White
Todd A. Hunter,Todd A. Hunter,R,2011,2011-2012,385165.43,White
Todd A. Hunter,Todd A. Hunter,R,2012,2011-2012,716250.57,White
Todd A. Hunter,Todd A. Hunter,R,2013,2013-2014,420092.89,White
Todd A. Hunter,Todd A. Hunter,R,2014,2013-2014,966298.96,White
Todd Smith,Todd Smith,R,2009,2009-2010,41707.88,White
Todd Smith,Todd Smith,R,2010,2009-2010,230567.14,White
Todd Smith,Todd Smith,R,2011,2011-2012,8975,White
Tom Craddick,Tom Craddick,R,2009,2009-2010,1250,White
Tom Craddick,Tom Craddick,R,2010,2009-2010,49200,White
Tom Craddick,Tom Craddick,R,2011,2011-2012,3700,White
Tom Craddick,Tom Craddick,R,2012,2011-2012,78234.91,White
Tom Craddick,Tom Craddick,R,2013,2013-2014,3250,White
Tom Craddick,Tom Craddick,R,2014,2013-2014,180237.61,White
Tommy Merritt,Tommy Merritt,R,2009,2009-2010,78350.32,White
Toni Rose,Toni Rose,D,2012,2011-2012,112088.59,Black
Toni Rose,Toni Rose,D,2013,2013-2014,18152.03,Black
Toni Rose,Toni Rose,D,2014,2013-2014,100314.05,Black
Tony Dale,Tony Dale,R,2012,2011-2012,449321.68,White
Tony Dale,Tony Dale,R,2013,2013-2014,47606.58,White
Tony Dale,Tony Dale,R,2014,2013-2014,308554.15,White
Tony Tinderholt,Tony Tinderholt,R,2014,2013-2014,163834.4,White
Tracy O. King,Tracy O. King,D,2009,2009-2010,55522.72,White
Tracy O. King,Tracy O. King,D,2010,2009-2010,100575.44,White
Tracy O. King,Tracy O. King,D,2011,2011-2012,63349.8,White
Tracy O. King,Tracy O. King,D,2012,2011-2012,260833.62,White
Tracy O. King,Tracy O. King,D,2013,2013-2014,58920,White
Tracy O. King,Tracy O. King,D,2014,2013-2014,156903.11,White
Travis Clardy,Travis Clardy,R,2012,2011-2012,185457.81,White
Travis Clardy,Travis Clardy,R,2013,2013-2014,39028.87,White
Travis Clardy,Travis Clardy,R,2014,2013-2014,369158.86,White
Trent Ashby,Trent Ashby,R,2012,2011-2012,297462.05,White
Trent Ashby,Trent Ashby,R,2013,2013-2014,130247.5,White
Trent Ashby,Trent Ashby,R,2014,2013-2014,192917.81,White
Trey Martinez Fischer,Trey Martinez Fischer,D,2009,2009-2010,23390.1,Hispanic
Trey Martinez Fischer,Trey Martinez Fischer,D,2010,2009-2010,252377.3,Hispanic
Trey Martinez Fischer,Trey Martinez Fischer,D,2011,2011-2012,19601.36,Hispanic
Trey Martinez Fischer,Trey Martinez Fischer,D,2012,2011-2012,316498.78,Hispanic
Trey Martinez Fischer,Trey Martinez Fischer,D,2013,2013-2014,49909.41,Hispanic
Trey Martinez Fischer,Trey Martinez Fischer,D,2014,2013-2014,826967.29,Hispanic
Tryon D. Lewis,Tryon D. Lewis,R,2009,2009-2010,63594.22,White
Tryon D. Lewis,Tryon D. Lewis,R,2010,2009-2010,99775.59,White
Tryon D. Lewis,Tryon D. Lewis,R,2011,2011-2012,2800,White
Tryon D. Lewis,Tryon D. Lewis,R,2012,2011-2012,120048.82,White
Tryon D. Lewis,Tryon D. Lewis,R,2013,2013-2014,6000,White
Valinda Bolton,Valinda Bolton,D,2009,2009-2010,63500.74,White
Van Taylor,Van Taylor,R,2009,2009-2010,18835,White
Van Taylor,Van Taylor,R,2010,2009-2010,247936.47,White
Van Taylor,Van Taylor,R,2012,2011-2012,139874.07,White
Van Taylor,Van Taylor,R,2013,2013-2014,129967.2,White
Van Taylor,Van Taylor,R,2014,2013-2014,464427.57,White
Veronica Gonzales,Veronica Gonzales,D,2009,2009-2010,96895.81,Hispanic
Veronica Gonzales,Veronica Gonzales,D,2010,2009-2010,315508,Hispanic
Veronica Gonzales,Veronica Gonzales,D,2011,2011-2012,62955,Hispanic
Vicki Truitt,Vicki Truitt,R,2009,2009-2010,177630.97,White
Vicki Truitt,Vicki Truitt,R,2010,2009-2010,398093.21,White
Vicki Truitt,Vicki Truitt,R,2011,2011-2012,127089.69,White
Walter Four Price,Walter Four Price,R,2010,2009-2010,525348.99,White
Walter Four Price,Walter Four Price,R,2011,2011-2012,72925,White
Walter Four Price,Walter Four Price,R,2012,2011-2012,258422.42,White
Walter Four Price,Walter Four Price,R,2013,2013-2014,194019.16,White
Walter Four Price,Walter Four Price,R,2014,2013-2014,435120.32,White
Warren Chisum,Warren Chisum,R,2009,2009-2010,40450,White
Warren Chisum,Warren Chisum,R,2010,2009-2010,102500,White
Warren Chisum,Warren Chisum,R,2011,2011-2012,280101.1,White
Wayne Christian,Wayne Christian,R,2009,2009-2010,43813,White
Wayne Christian,Wayne Christian,R,2010,2009-2010,99599.41,White
Wayne Christian,Wayne Christian,R,2011,2011-2012,51579.33,White
Wayne Faircloth,Wayne Faircloth,R,2014,2013-2014,1183158.51,White
Wayne Smith,Wayne Smith,R,2009,2009-2010,73967.55,White
Wayne Smith,Wayne Smith,R,2010,2009-2010,98150.86,White
Wayne Smith,Wayne Smith,R,2011,2011-2012,41501.66,White
Wayne Smith,Wayne Smith,R,2012,2011-2012,179338.95,White
Wayne Smith,Wayne Smith,R,2013,2013-2014,157233.83,White
Wayne Smith,Wayne Smith,R,2014,2013-2014,201464.97,White
Wendy Davis,Wendy Davis,D,2009,2009-2010,312330,White
Wendy Davis,Wendy Davis,D,2010,2009-2010,643050.25,White
Wendy Davis,Wendy Davis,D,2011,2011-2012,587417.26,White
Will Hartnett,Will Hartnett,R,2009,2009-2010,14425,White
Will Hartnett,Will Hartnett,R,2010,2009-2010,182093.49,White
Will Hartnett,Will Hartnett,R,2011,2011-2012,3700,White
Will Metcalf,Will Metcalf,R,2013,2013-2014,86260,White
Will Metcalf,Will Metcalf,R,2014,2013-2014,185583.6,White
William Bill Callegari,William Bill Callegari,R,2009,2009-2010,9950,White
William Bill Callegari,William Bill Callegari,R,2010,2009-2010,152809.86,White
William Bill Callegari,William Bill Callegari,R,2011,2011-2012,8250,White
William Bill Callegari,William Bill Callegari,R,2012,2011-2012,211936.43,White
William Bill Zedler,Bill Zedler,R,2010,2009-2010,757792.15,White
William Bill Zedler,Bill Zedler,R,2011,2011-2012,29284.49,White
William Bill Zedler,Bill Zedler,R,2012,2011-2012,125187.34,White
William Bill Zedler,Bill Zedler,R,2013,2013-2014,10350,White
William Bill Zedler,Bill Zedler,R,2014,2013-2014,52300,White
Workman for Texas,Paul Workman,R,2010,2009-2010,702723.27,White
Workman for Texas,Paul Workman,R,2011,2011-2012,174560.27,White
Workman for Texas,Paul Workman,R,2012,2011-2012,350432.77,White
Workman for Texas,Paul Workman,R,2013,2013-2014,103435,White
Workman for Texas,Paul Workman,R,2014,2013-2014,163966.01,White
Yvonne Davis,Yvonne Davis,D,2009,2009-2010,65725.89,Black
Yvonne Davis,Yvonne Davis,D,2010,2009-2010,104391,Black
Yvonne Davis,Yvonne Davis,D,2011,2011-2012,32907,Black
Yvonne Davis,Yvonne Davis,D,2012,2011-2012,173433,Black
Yvonne Davis,Yvonne Davis,D,2013,2013-2014,104709.72,Black
Yvonne Davis,Yvonne Davis,D,2014,2013-2014,210851,Black
Yvonne Gonzalez Toureilles,Yvonne Gonzalez Toureilles,D,2009,2009-2010,62922.48,Hispanic
