Class,Graduating,Ice Cream,Princess,Computer
Senior,Yes,Cookies & Cream,Mulan,Macintosh
Masters candidate,Yes,Rocky Road,Mulan,Windows
Senior,Yes,Chocolate,Ariel (Little Mermaid),Windows
Senior,No,Mint chocolate chip,Mulan,Macintosh
Junior,No,Mint chocolate chip,Jasmine (Aladdin),Windows
Senior,No,Mint chocolate chip,Rapunzel (Tangled),Macintosh
Junior,No,Cookies & Cream,Rapunzel (Tangled),Windows
Junior,No,Cookie dough,Mulan,Macintosh
Senior,Yes,Mint chocolate chip,Jasmine (Aladdin),Macintosh
Junior,No,Cookies & Cream,Rapunzel (Tangled),Windows
Senior,Yes,Jamoca (coffee),Rapunzel (Tangled),Macintosh
Senior,Yes,Cookie dough,Jasmine (Aladdin),Macintosh
Junior,No,Cookie dough,Jasmine (Aladdin),Macintosh
Senior,Yes,Chocolate,Mulan,Macintosh
Senior,Yes,Cookie dough,Jasmine (Aladdin),Macintosh
Senior,No,Strawberry,Ariel (Little Mermaid),Macintosh
Senior,Yes,Cookies & Cream,Mulan,Windows
Senior,No,Rocky Road,Mulan,Macintosh
Junior,No,Cookie dough,Ariel (Little Mermaid),Macintosh
Senior,Yes,Cookies & Cream,Mulan,Windows
Senior,Yes,Butter pecan,Ariel (Little Mermaid),Macintosh
Senior,No,Strawberry,Merida (Brave),Windows
Senior,No,Vanilla,Rapunzel (Tangled),Macintosh
Senior,No,Mint chocolate chip,Tiana (Princess and the Frog),Macintosh
Senior,No,Chocolate,Mulan,Macintosh
Junior,No,Mint chocolate chip,Snow White,Macintosh
Senior,No,Chocolate,Mulan,Macintosh
Junior,No,Strawberry,Rapunzel (Tangled),Windows
Senior,No,Butter pecan,Ariel (Little Mermaid),Macintosh
Junior,No,Butter pecan,Tiana (Princess and the Frog),Macintosh
Junior,No,Strawberry,Aurora (Sleeping Beauty),Macintosh
Senior,Yes,Butter pecan,Mulan,Macintosh
Senior,Yes,Cookie dough,Mulan,Macintosh
Senior,Yes,Vanilla,Jasmine (Aladdin),Macintosh
Senior,Yes,Mint chocolate chip,Mulan,Macintosh
Senior,Yes,Mint chocolate chip,Rapunzel (Tangled),Windows
Masters candidate,Yes,Mint chocolate chip,Belle (Beauty and the Beast),Macintosh
Senior,Yes,Cookie dough,Mulan,Windows