County,School year,Exemption rate
Anderson,2010-2011,0.45
Anderson,2011-2012,0.27
Anderson,2017-2018,1.36
Anderson,2019-2020,1.54
Anderson,2014-2015,0.58
Anderson,2018-2019,2.14
Anderson,2016-2017,1.55
Anderson,2015-2016,0.65
Anderson,2013-2014,0.79
Anderson,2012-2013,2.05
Andrews,2016-2017,0.97
Andrews,2010-2011,0.71
Andrews,2011-2012,0.35
Andrews,2014-2015,0.89
Andrews,2017-2018,1.21
Andrews,2018-2019,2.47
Andrews,2012-2013,0.97
Andrews,2013-2014,0.35
Andrews,2015-2016,1.35
Andrews,2019-2020,0.95
Angelina,2016-2017,1.17
Angelina,2013-2014,1.1
Angelina,2017-2018,1.51
Angelina,2014-2015,0.6
Angelina,2019-2020,1.82
Angelina,2015-2016,1.65
Angelina,2018-2019,1.72
Angelina,2012-2013,0.84
Angelina,2010-2011,0.38
Angelina,2011-2012,0.35
Aransas,2015-2016,1.43
Aransas,2013-2014,2.23
Aransas,2018-2019,1.06
Aransas,2010-2011,1.14
Aransas,2017-2018,1.19
Aransas,2012-2013,0
Aransas,2016-2017,2.08
Aransas,2011-2012,0
Aransas,2014-2015,1.11
Aransas,2019-2020,2.55
Archer,2017-2018,0
Archer,2018-2019,1.55
Archer,2016-2017,0
Archer,2013-2014,0.81
Archer,2014-2015,2.22
Archer,2010-2011,0.86
Archer,2012-2013,1.53
Archer,2011-2012,0.88
Archer,2019-2020,1.4
Archer,2015-2016,0
Armstrong,2012-2013,0
Armstrong,2013-2014,0
Armstrong,2014-2015,3.7
Armstrong,2011-2012,0
Armstrong,2019-2020,7.4
Armstrong,2017-2018,0
Armstrong,2010-2011,0
Armstrong,2015-2016,0
Armstrong,2018-2019,3.22
Armstrong,2016-2017,4.16
Atascosa,2014-2015,0.29
Atascosa,2015-2016,0.46
Atascosa,2013-2014,0.3
Atascosa,2012-2013,0.88
Atascosa,2018-2019,1.62
Atascosa,2017-2018,0.93
Atascosa,2010-2011,0
Atascosa,2011-2012,0.3
Atascosa,2019-2020,0.33
Atascosa,2016-2017,1.28
Austin,2018-2019,3.39
Austin,2014-2015,1.12
Austin,2010-2011,0.82
Austin,2016-2017,2.09
Austin,2013-2014,1.11
Austin,2015-2016,2.33
Austin,2019-2020,1.88
Austin,2012-2013,0.93
Austin,2011-2012,0.49
Austin,2017-2018,1.65
Bailey,2010-2011,0.8
Bailey,2012-2013,0
Bailey,2013-2014,0
Bailey,2011-2012,0.81
Bailey,2015-2016,0.9
Bailey,2014-2015,0
Bailey,2019-2020,1.12
Bailey,2018-2019,1.09
Bailey,2017-2018,1
Bailey,2016-2017,1.76
Bandera,2014-2015,4.21
Bandera,2019-2020,4.37
Bandera,2017-2018,2.11
Bandera,2013-2014,3.07
Bandera,2012-2013,2.65
Bandera,2011-2012,0.68
Bandera,2018-2019,1.06
Bandera,2010-2011,0.56
Bandera,2015-2016,1.32
Bandera,2016-2017,5.38
Bastrop,2012-2013,1.31
Bastrop,2017-2018,1.89
Bastrop,2015-2016,1.68
Bastrop,2010-2011,1.67
Bastrop,2018-2019,2.18
Bastrop,2011-2012,2.09
Bastrop,2016-2017,3.37
Bastrop,2014-2015,2.47
Bastrop,2019-2020,2.72
Bastrop,2013-2014,1.96
Baylor,2013-2014,0
Baylor,2010-2011,1.75
Baylor,2012-2013,1.96
Baylor,2011-2012,2.12
Baylor,2014-2015,1.81
Baylor,2019-2020,0
Baylor,2016-2017,0
Baylor,2017-2018,2.12
Baylor,2018-2019,1.78
Baylor,2015-2016,0
Bee,2016-2017,0
Bee,2011-2012,0.46
Bee,2018-2019,0.52
Bee,2019-2020,0.76
Bee,2017-2018,0
Bee,2012-2013,0.24
Bee,2010-2011,0.72
Bee,2014-2015,0.24
Bee,2013-2014,0
Bee,2015-2016,0.25
Bell,2017-2018,1.61
Bell,2011-2012,0.66
Bell,2010-2011,0.4
Bell,2014-2015,0.83
Bell,2019-2020,2.48
Bell,2013-2014,0.83
Bell,2018-2019,2.38
Bell,2015-2016,1.47
Bell,2012-2013,0.63
Bell,2016-2017,1.54
Bexar,2017-2018,1.32
Bexar,2015-2016,0.92
Bexar,2019-2020,1.77
Bexar,2011-2012,0.73
Bexar,2013-2014,0.78
Bexar,2018-2019,1.6
Bexar,2014-2015,0.8
Bexar,2010-2011,0.43
Bexar,2012-2013,0.58
Bexar,2016-2017,1.16
Blanco,2016-2017,6
Blanco,2010-2011,1.5
Blanco,2017-2018,3.48
Blanco,2013-2014,5.3
Blanco,2019-2020,7.36
Blanco,2012-2013,1.7
Blanco,2018-2019,3.92
Blanco,2015-2016,1.96
Blanco,2014-2015,5.12
Blanco,2011-2012,4.23
Borden,2014-2015,0
Borden,2010-2011,0
Borden,2018-2019,12.5
Borden,2015-2016,5.88
Borden,2017-2018,0
Borden,2011-2012,15.38
Borden,2019-2020,0
Borden,2016-2017,0
Borden,2012-2013,0
Borden,2013-2014,0
Bosque,2014-2015,0
Bosque,2019-2020,3.78
Bosque,2016-2017,2.16
Bosque,2013-2014,0
Bosque,2012-2013,0.87
Bosque,2011-2012,0.87
Bosque,2010-2011,0
Bosque,2017-2018,1.57
Bosque,2015-2016,0.48
Bosque,2018-2019,3.33
Bowie,2016-2017,1.88
Bowie,2012-2013,1.52
Bowie,2017-2018,1.94
Bowie,2019-2020,2.5
Bowie,2011-2012,1.19
Bowie,2015-2016,1.6
Bowie,2018-2019,2.39
Bowie,2013-2014,1.6
Bowie,2010-2011,1.41
Bowie,2014-2015,1.9
Brazoria,2014-2015,1.36
Brazoria,2012-2013,0.84
Brazoria,2011-2012,0.79
Brazoria,2016-2017,1.02
Brazoria,2010-2011,0.49
Brazoria,2018-2019,1.71
Brazoria,2017-2018,1.69
Brazoria,2019-2020,1.86
Brazoria,2013-2014,1.06
Brazoria,2015-2016,1.11
Brazos,2010-2011,0.83
Brazos,2011-2012,0.63
Brazos,2014-2015,0.72
Brazos,2019-2020,1.69
Brazos,2016-2017,1.51
Brazos,2012-2013,0.81
Brazos,2017-2018,1.21
Brazos,2015-2016,0.86
Brazos,2013-2014,0.66
Brazos,2018-2019,1.33
Brewster,2011-2012,0
Brewster,2014-2015,2.46
Brewster,2012-2013,2.04
Brewster,2013-2014,2.53
Brewster,2010-2011,0
Brewster,2019-2020,18.47
Brewster,2016-2017,2.35
Brewster,2017-2018,3
Brewster,2015-2016,0.91
Brewster,2018-2019,4.7
Briscoe,2016-2017,0
Briscoe,2019-2020,0
Briscoe,2014-2015,0
Briscoe,2017-2018,0
Briscoe,2011-2012,0
Briscoe,2018-2019,0
Briscoe,2013-2014,0
Briscoe,2015-2016,0
Briscoe,2012-2013,0
Briscoe,2010-2011,12.5
Brooks,2015-2016,0
Brooks,2013-2014,0
Brooks,2012-2013,0
Brooks,2011-2012,0
Brooks,2018-2019,0.93
Brooks,2017-2018,0.67
Brooks,2016-2017,0
Brooks,2010-2011,0
Brooks,2014-2015,0
Brooks,2019-2020,0
Brown,2017-2018,1.07
Brown,2016-2017,0.65
Brown,2011-2012,0.2
Brown,2018-2019,3.39
Brown,2014-2015,1.01
Brown,2010-2011,0.74
Brown,2013-2014,0.4
Brown,2019-2020,2.5
Brown,2015-2016,1.05
Brown,2012-2013,1.3
Burleson,2010-2011,0
Burleson,2015-2016,0.52
Burleson,2013-2014,0
Burleson,2019-2020,0.44
Burleson,2011-2012,0
Burleson,2014-2015,0
Burleson,2016-2017,0
Burleson,2017-2018,1.04
Burleson,2012-2013,0.44
Burleson,2018-2019,0.45
Burnet,2018-2019,3.33
Burnet,2015-2016,1.43
Burnet,2011-2012,1.3
Burnet,2016-2017,1.95
Burnet,2017-2018,3.48
Burnet,2012-2013,2.3
Burnet,2014-2015,3.5
Burnet,2013-2014,4.3
Burnet,2010-2011,2.38
Burnet,2019-2020,5.01
Caldwell,2018-2019,3.17
Caldwell,2016-2017,2.44
Caldwell,2011-2012,1.49
Caldwell,2019-2020,2.2
Caldwell,2013-2014,2.41
Caldwell,2012-2013,0.8
Caldwell,2017-2018,1.44
Caldwell,2010-2011,0.2
Caldwell,2015-2016,1.72
Caldwell,2014-2015,1.6
Calhoun,2011-2012,0.31
Calhoun,2017-2018,1.07
Calhoun,2018-2019,0.7
Calhoun,2014-2015,0.66
Calhoun,2019-2020,0.65
Calhoun,2012-2013,1.73
Calhoun,2015-2016,0.29
Calhoun,2016-2017,0.66
Calhoun,2013-2014,0.61
Calhoun,2010-2011,0
Callahan,2010-2011,1.14
Callahan,2018-2019,2.94
Callahan,2014-2015,3.22
Callahan,2017-2018,2.2
Callahan,2012-2013,1.07
Callahan,2013-2014,1.66
Callahan,2011-2012,1.5
Callahan,2015-2016,1.8
Callahan,2016-2017,2.25
Callahan,2019-2020,3.52
Cameron,2010-2011,0.09
Cameron,2014-2015,0.11
Cameron,2013-2014,0.25
Cameron,2015-2016,0.26
Cameron,2012-2013,0.16
Cameron,2017-2018,0.38
Cameron,2018-2019,0.77
Cameron,2016-2017,0.27
Cameron,2019-2020,0.65
Cameron,2011-2012,0.28
Camp,2012-2013,0.51
Camp,2013-2014,0
Camp,2014-2015,0
Camp,2019-2020,0
Camp,2015-2016,0
Camp,2017-2018,0
Camp,2016-2017,0
Camp,2010-2011,0
Camp,2011-2012,0
Camp,2018-2019,0.53
Carson,2013-2014,2.17
Carson,2019-2020,6.6
Carson,2012-2013,1.8
Carson,2015-2016,5.05
Carson,2016-2017,4.8
Carson,2011-2012,0.92
Carson,2017-2018,5.45
Carson,2014-2015,2.54
Carson,2010-2011,0.95
Carson,2018-2019,3.33
Cass,2018-2019,3.04
Cass,2011-2012,0.24
Cass,2012-2013,0
Cass,2015-2016,1.01
Cass,2017-2018,2.07
Cass,2019-2020,3.97
Cass,2013-2014,1.26
Cass,2010-2011,0.25
Cass,2014-2015,1.62
Cass,2016-2017,0.53
Castro,2012-2013,0
Castro,2018-2019,0.89
Castro,2016-2017,1.62
Castro,2019-2020,2.98
Castro,2017-2018,0.8
Castro,2013-2014,0
Castro,2015-2016,0
Castro,2011-2012,0
Castro,2010-2011,0
Castro,2014-2015,0.86
Chambers,2014-2015,1.02
Chambers,2017-2018,2.88
Chambers,2018-2019,2.61
Chambers,2011-2012,0.58
Chambers,2012-2013,1.71
Chambers,2013-2014,1.28
Chambers,2010-2011,0.64
Chambers,2016-2017,2.33
Chambers,2015-2016,1.58
Chambers,2019-2020,2.82
Cherokee,2019-2020,0.48
Cherokee,2018-2019,0.34
Cherokee,2013-2014,0.3
Cherokee,2017-2018,0.99
Cherokee,2010-2011,0.71
Cherokee,2014-2015,0.57
Cherokee,2016-2017,0
Cherokee,2012-2013,0.45
Cherokee,2011-2012,0.15
Cherokee,2015-2016,0.64
Childress,2015-2016,0
Childress,2017-2018,1.2
Childress,2018-2019,4.61
Childress,2012-2013,0
Childress,2013-2014,0
Childress,2016-2017,1.36
Childress,2014-2015,0
Childress,2010-2011,1.19
Childress,2011-2012,0
Childress,2019-2020,3.17
Clay,2011-2012,0.89
Clay,2010-2011,0
Clay,2013-2014,0
Clay,2018-2019,0.74
Clay,2015-2016,0.87
Clay,2019-2020,1.56
Clay,2012-2013,0
Clay,2014-2015,0
Clay,2016-2017,1
Clay,2017-2018,1.75
Cochran,2016-2017,0
Cochran,2011-2012,1.96
Cochran,2017-2018,0
Cochran,2010-2011,0
Cochran,2012-2013,0
Cochran,2013-2014,0
Cochran,2019-2020,6.66
Cochran,2018-2019,0
Cochran,2015-2016,0
Cochran,2014-2015,0
Coke,2012-2013,6.06
Coke,2015-2016,0
Coke,2017-2018,3.03
Coke,2016-2017,4.87
Coke,2019-2020,2.63
Coke,2018-2019,5
Coke,2013-2014,4.34
Coke,2010-2011,0
Coke,2011-2012,0
Coke,2014-2015,2.63
Coleman,2016-2017,1.09
Coleman,2018-2019,2.43
Coleman,2013-2014,0
Coleman,2011-2012,0
Coleman,2010-2011,0
Coleman,2012-2013,0
Coleman,2014-2015,0.97
Coleman,2019-2020,0
Coleman,2017-2018,0
Coleman,2015-2016,1.17
Collin,2014-2015,3.02
Collin,2017-2018,3.56
Collin,2012-2013,2.78
Collin,2010-2011,1.78
Collin,2013-2014,2.91
Collin,2018-2019,4.26
Collin,2011-2012,2.04
Collin,2019-2020,4.49
Collin,2016-2017,3.63
Collin,2015-2016,3.33
Collingsworth,2018-2019,0
Collingsworth,2019-2020,10
Collingsworth,2013-2014,0
Collingsworth,2010-2011,2.27
Collingsworth,2017-2018,1.75
Collingsworth,2015-2016,0
Collingsworth,2011-2012,1.61
Collingsworth,2016-2017,5.66
Collingsworth,2012-2013,2
Collingsworth,2014-2015,1.96
Colorado,2014-2015,0.49
Colorado,2015-2016,1.15
Colorado,2017-2018,0
Colorado,2011-2012,0.5
Colorado,2016-2017,0
Colorado,2010-2011,0.58
Colorado,2013-2014,0
Colorado,2012-2013,0
Colorado,2019-2020,0.56
Colorado,2018-2019,1.78
Comal,2015-2016,2.43
Comal,2012-2013,1.62
Comal,2016-2017,2.14
Comal,2013-2014,2.7
Comal,2019-2020,4.69
Comal,2011-2012,1.73
Comal,2010-2011,1.58
Comal,2017-2018,3.84
Comal,2018-2019,3
Comal,2014-2015,1.82
Comanche,2018-2019,0.59
Comanche,2015-2016,0.57
Comanche,2011-2012,0.62
Comanche,2012-2013,0
Comanche,2013-2014,2.77
Comanche,2016-2017,0.55
Comanche,2014-2015,1.86
Comanche,2010-2011,0.57
Comanche,2017-2018,2.28
Comanche,2019-2020,2.29
Concho,2014-2015,0
Concho,2013-2014,0
Concho,2017-2018,2.94
Concho,2019-2020,0
Concho,2015-2016,0
Concho,2010-2011,0
Concho,2011-2012,0
Concho,2018-2019,0
Concho,2012-2013,0
Concho,2016-2017,0
Cooke,2014-2015,1.52
Cooke,2012-2013,0.97
Cooke,2015-2016,1.14
Cooke,2010-2011,0.9
Cooke,2013-2014,0.54
Cooke,2016-2017,3.08
Cooke,2018-2019,3.31
Cooke,2019-2020,1.69
Cooke,2011-2012,0.77
Cooke,2017-2018,1.34
Coryell,2010-2011,0.48
Coryell,2011-2012,0.71
Coryell,2019-2020,2.3
Coryell,2018-2019,2.71
Coryell,2016-2017,1.38
Coryell,2015-2016,1
Coryell,2013-2014,3.26
Coryell,2012-2013,0.45
Coryell,2014-2015,4.23
Coryell,2017-2018,1.66
Cottle,2012-2013,0
Cottle,2015-2016,0
Cottle,2018-2019,0
Cottle,2014-2015,0
Cottle,2010-2011,0
Cottle,2017-2018,0
Cottle,2013-2014,
Cottle,2019-2020,0
Cottle,2011-2012,0
Cottle,2016-2017,0
Crane,2018-2019,0
Crane,2012-2013,0
Crane,2015-2016,0
Crane,2019-2020,1.23
Crane,2013-2014,0
Crane,2011-2012,0
Crane,2016-2017,0
Crane,2017-2018,0
Crane,2014-2015,1.19
Crane,2010-2011,0
Crockett,2019-2020,0
Crockett,2015-2016,0
Crockett,2011-2012,1.61
Crockett,2017-2018,0
Crockett,2012-2013,0
Crockett,2018-2019,1.78
Crockett,2010-2011,0
Crockett,2014-2015,1.47
Crockett,2013-2014,0
Crockett,2016-2017,0
Crosby,2013-2014,0
Crosby,2018-2019,2.85
Crosby,2012-2013,0
Crosby,2019-2020,0
Crosby,2017-2018,1.25
Crosby,2010-2011,1.19
Crosby,2016-2017,1.13
Crosby,2015-2016,1.07
Crosby,2014-2015,1.2
Crosby,2011-2012,1.92
Culberson,2016-2017,0
Culberson,2017-2018,0
Culberson,2013-2014,0
Culberson,2012-2013,
Culberson,2010-2011,0
Culberson,2011-2012,0
Culberson,2018-2019,0
Culberson,2019-2020,0
Culberson,2015-2016,0
Culberson,2014-2015,
Dallam,2013-2014,0.62
Dallam,2015-2016,3.59
Dallam,2011-2012,0
Dallam,2017-2018,2.89
Dallam,2012-2013,0
Dallam,2016-2017,1.88
Dallam,2019-2020,5.12
Dallam,2014-2015,0
Dallam,2018-2019,1.75
Dallam,2010-2011,0.7
Dallas,2019-2020,1.95
Dallas,2010-2011,0.57
Dallas,2011-2012,0.54
Dallas,2013-2014,0.83
Dallas,2012-2013,0.83
Dallas,2015-2016,0.84
Dallas,2018-2019,1.83
Dallas,2016-2017,1.15
Dallas,2014-2015,0.89
Dallas,2017-2018,1.36
Dawson,2015-2016,1.01
Dawson,2018-2019,5.37
Dawson,2013-2014,0.49
Dawson,2019-2020,7.64
Dawson,2010-2011,0
Dawson,2016-2017,1.57
Dawson,2017-2018,1.44
Dawson,2011-2012,0.47
Dawson,2014-2015,1.35
Dawson,2012-2013,0.39
DeWitt,2014-2015,0.82
DeWitt,2017-2018,0.5
DeWitt,2019-2020,0.48
DeWitt,2011-2012,0.9
DeWitt,2015-2016,1.5
DeWitt,2010-2011,0.56
DeWitt,2013-2014,0
DeWitt,2016-2017,1.97
DeWitt,2012-2013,0.89
DeWitt,2018-2019,0.5
Deaf Smith,2015-2016,0
Deaf Smith,2018-2019,0.91
Deaf Smith,2014-2015,0
Deaf Smith,2012-2013,0
Deaf Smith,2013-2014,0.27
Deaf Smith,2017-2018,0.33
Deaf Smith,2011-2012,0.26
Deaf Smith,2019-2020,0
Deaf Smith,2010-2011,0
Deaf Smith,2016-2017,0
Delta,2010-2011,0
Delta,2011-2012,3.63
Delta,2012-2013,0
Delta,2016-2017,1.78
Delta,2015-2016,5.26
Delta,2018-2019,1.85
Delta,2017-2018,0
Delta,2013-2014,0
Delta,2014-2015,0
Delta,2019-2020,1.69
Denton,2019-2020,4.65
Denton,2016-2017,3.91
Denton,2018-2019,5.29
Denton,2013-2014,9.22
Denton,2010-2011,1.96
Denton,2011-2012,4.8
Denton,2017-2018,4.72
Denton,2012-2013,4.52
Denton,2015-2016,3.5
Denton,2014-2015,3.4
Dickens,2014-2015,0
Dickens,2013-2014,0
Dickens,2010-2011,0
Dickens,2015-2016,0
Dickens,2011-2012,0
Dickens,2019-2020,0
Dickens,2017-2018,0
Dickens,2016-2017,0
Dickens,2012-2013,8.33
Dickens,2018-2019,0
Dimmit,2013-2014,0.47
Dimmit,2016-2017,0
Dimmit,2014-2015,0
Dimmit,2011-2012,0
Dimmit,2015-2016,0
Dimmit,2012-2013,0
Dimmit,2018-2019,0
Dimmit,2019-2020,0
Dimmit,2017-2018,0
Dimmit,2010-2011,0
Donley,2013-2014,0
Donley,2014-2015,3.77
Donley,2016-2017,2.5
Donley,2015-2016,0
Donley,2010-2011,0
Donley,2011-2012,0
Donley,2018-2019,0
Donley,2019-2020,0
Donley,2017-2018,2.5
Donley,2012-2013,4.16
Duval,2016-2017,0
Duval,2015-2016,0
Duval,2017-2018,0.53
Duval,2011-2012,0
Duval,2010-2011,0
Duval,2012-2013,0
Duval,2013-2014,0
Duval,2019-2020,1.25
Duval,2018-2019,0
Duval,2014-2015,0
Eastland,2015-2016,2.8
Eastland,2016-2017,2.98
Eastland,2018-2019,4.92
Eastland,2012-2013,2.66
Eastland,2010-2011,1.8
Eastland,2014-2015,0.87
Eastland,2013-2014,2.24
Eastland,2017-2018,5.55
Eastland,2019-2020,2.51
Eastland,2011-2012,0
Ector,2013-2014,0.85
Ector,2016-2017,1.06
Ector,2018-2019,1.31
Ector,2012-2013,0.47
Ector,2015-2016,1.15
Ector,2011-2012,0.47
Ector,2010-2011,0.33
Ector,2019-2020,1.11
Ector,2017-2018,0.82
Ector,2014-2015,0.9
Edwards,2011-2012,0
Edwards,2018-2019,2.08
Edwards,2019-2020,4.25
Edwards,2010-2011,4.34
Edwards,2016-2017,2.27
Edwards,2017-2018,0
Edwards,2013-2014,0
Edwards,2012-2013,0
Edwards,2014-2015,0
Edwards,2015-2016,0
El Paso,2012-2013,0.88
El Paso,2017-2018,0.53
El Paso,2019-2020,0.74
El Paso,2016-2017,0.38
El Paso,2010-2011,0.71
El Paso,2013-2014,1.09
El Paso,2018-2019,0.62
El Paso,2011-2012,0.81
El Paso,2015-2016,1.14
El Paso,2014-2015,1.15
Ellis,2017-2018,2.82
Ellis,2012-2013,1.21
Ellis,2016-2017,1.92
Ellis,2011-2012,1.25
Ellis,2019-2020,3.4
Ellis,2013-2014,1.29
Ellis,2014-2015,1.75
Ellis,2018-2019,2.89
Ellis,2015-2016,1.6
Ellis,2010-2011,1.13
Erath,2011-2012,0.21
Erath,2017-2018,2.31
Erath,2014-2015,0.71
Erath,2015-2016,0.95
Erath,2012-2013,1.11
Erath,2016-2017,1.16
Erath,2010-2011,0
Erath,2019-2020,2.83
Erath,2013-2014,0.97
Erath,2018-2019,1.55
Falls,2010-2011,0
Falls,2013-2014,0
Falls,2011-2012,0.95
Falls,2019-2020,1.66
Falls,2017-2018,0.57
Falls,2015-2016,1.12
Falls,2018-2019,0.65
Falls,2016-2017,1.24
Falls,2012-2013,0
Falls,2014-2015,0
Fannin,2013-2014,1.2
Fannin,2010-2011,0.69
Fannin,2016-2017,3.09
Fannin,2014-2015,1.56
Fannin,2019-2020,3.91
Fannin,2017-2018,2.62
Fannin,2012-2013,1.49
Fannin,2018-2019,4.26
Fannin,2011-2012,1.03
Fannin,2015-2016,1.08
Fayette,2011-2012,2.23
Fayette,2010-2011,0.74
Fayette,2012-2013,0.35
Fayette,2013-2014,0.67
Fayette,2015-2016,1.05
Fayette,2014-2015,0.32
Fayette,2016-2017,1.32
Fayette,2018-2019,1.45
Fayette,2017-2018,0
Fayette,2019-2020,1.42
Fisher,2013-2014,0
Fisher,2012-2013,0
Fisher,2019-2020,0
Fisher,2010-2011,2.38
Fisher,2018-2019,2.32
Fisher,2015-2016,0
Fisher,2014-2015,
Fisher,2016-2017,0
Fisher,2017-2018,0
Fisher,2011-2012,0
Floyd,2010-2011,0
Floyd,2015-2016,2.24
Floyd,2016-2017,1.12
Floyd,2017-2018,0
Floyd,2012-2013,0
Floyd,2014-2015,0
Floyd,2013-2014,0
Floyd,2011-2012,0
Floyd,2018-2019,0
Floyd,2019-2020,0
Foard,2017-2018,0
Foard,2016-2017,0
Foard,2014-2015,0
Foard,2011-2012,0
Foard,2018-2019,0
Foard,2019-2020,0
Foard,2010-2011,0
Foard,2015-2016,0
Foard,2013-2014,0
Foard,2012-2013,0
Fort Bend,2018-2019,1.35
Fort Bend,2014-2015,0.82
Fort Bend,2017-2018,0.97
Fort Bend,2015-2016,0.81
Fort Bend,2016-2017,0.93
Fort Bend,2012-2013,0.81
Fort Bend,2013-2014,0.94
Fort Bend,2011-2012,0.73
Fort Bend,2019-2020,0.76
Fort Bend,2010-2011,0.66
Franklin,2014-2015,1.43
Franklin,2016-2017,2.45
Franklin,2019-2020,0.98
Franklin,2015-2016,2.27
Franklin,2011-2012,1.55
Franklin,2018-2019,2.15
Franklin,2017-2018,0
Franklin,2010-2011,0.74
Franklin,2012-2013,0.74
Franklin,2013-2014,0.67
Freestone,2010-2011,1.08
Freestone,2014-2015,1.5
Freestone,2017-2018,2.55
Freestone,2018-2019,2.97
Freestone,2016-2017,1.9
Freestone,2019-2020,2.14
Freestone,2015-2016,1.25
Freestone,2013-2014,1.71
Freestone,2012-2013,1.27
Freestone,2011-2012,1.36
Frio,2011-2012,0
Frio,2014-2015,0.4
Frio,2013-2014,0.35
Frio,2016-2017,0
Frio,2010-2011,0
Frio,2017-2018,0.46
Frio,2018-2019,0
Frio,2012-2013,0
Frio,2019-2020,1.4
Frio,2015-2016,0
Gaines,2017-2018,18.21
Gaines,2014-2015,9.68
Gaines,2018-2019,16.98
Gaines,2012-2013,8.14
Gaines,2013-2014,7.44
Gaines,2019-2020,18.84
Gaines,2016-2017,13.09
Gaines,2015-2016,8.62
Gaines,2011-2012,5.16
Gaines,2010-2011,5.78
Galveston,2016-2017,1.8
Galveston,2018-2019,2.39
Galveston,2011-2012,1.34
Galveston,2014-2015,1.87
Galveston,2013-2014,1.76
Galveston,2015-2016,1.54
Galveston,2010-2011,1.16
Galveston,2012-2013,1.3
Galveston,2019-2020,2.37
Galveston,2017-2018,2.34
Garza,2019-2020,3.03
Garza,2018-2019,2.12
Garza,2011-2012,0
Garza,2013-2014,0
Garza,2017-2018,0
Garza,2015-2016,1.81
Garza,2012-2013,1.14
Garza,2014-2015,1.11
Garza,2010-2011,0
Garza,2016-2017,0
Gillespie,2014-2015,1.77
Gillespie,2010-2011,0.71
Gillespie,2015-2016,2
Gillespie,2013-2014,1.03
Gillespie,2012-2013,3.41
