County,School year,Exemption rate,Year
Cottle,2015-2016,0,2016-06-01
Cottle,2011-2012,0,2012-06-01
Cottle,2016-2017,0,2017-06-01
Cottle,2019-2020,0,2020-06-01
Cottle,2018-2019,0,2019-06-01
Crane,2010-2011,0,2011-06-01
Crane,2018-2019,0,2019-06-01
Crane,2019-2020,1.23,2020-06-01
Crane,2011-2012,0,2012-06-01
Crane,2012-2013,0,2013-06-01
Crane,2014-2015,1.19,2015-06-01
Crane,2013-2014,0,2014-06-01
Crane,2015-2016,0,2016-06-01
Crane,2016-2017,0,2017-06-01
Crane,2017-2018,0,2018-06-01
Crockett,2019-2020,0,2020-06-01
Crockett,2018-2019,1.78,2019-06-01
Crockett,2015-2016,0,2016-06-01
Crockett,2012-2013,0,2013-06-01
Crockett,2011-2012,1.61,2012-06-01
Crockett,2010-2011,0,2011-06-01
Crockett,2017-2018,0,2018-06-01
Crockett,2016-2017,0,2017-06-01
Crockett,2014-2015,1.47,2015-06-01
Crockett,2013-2014,0,2014-06-01
Crosby,2018-2019,2.85,2019-06-01
Crosby,2011-2012,1.92,2012-06-01
Crosby,2010-2011,1.19,2011-06-01
Crosby,2017-2018,1.25,2018-06-01
Crosby,2019-2020,0,2020-06-01
Crosby,2012-2013,0,2013-06-01
Crosby,2014-2015,1.2,2015-06-01
Crosby,2013-2014,0,2014-06-01
Crosby,2016-2017,1.13,2017-06-01
Crosby,2015-2016,1.07,2016-06-01
Culberson,2015-2016,0,2016-06-01
Culberson,2010-2011,0,2011-06-01
Culberson,2016-2017,0,2017-06-01
Culberson,2019-2020,0,2020-06-01
Culberson,2017-2018,0,2018-06-01
Culberson,2013-2014,0,2014-06-01
Culberson,2011-2012,0,2012-06-01
Culberson,2018-2019,0,2019-06-01
Dallam,2011-2012,0,2012-06-01
Dallam,2016-2017,1.88,2017-06-01
Dallam,2012-2013,0,2013-06-01
Dallam,2018-2019,1.75,2019-06-01
Dallam,2015-2016,3.59,2016-06-01
Dallam,2017-2018,2.89,2018-06-01
Dallam,2014-2015,0,2015-06-01
Dallam,2019-2020,5.12,2020-06-01
Dallam,2010-2011,0.7,2011-06-01
Dallam,2013-2014,0.62,2014-06-01
Dallas,2012-2013,0.83,2013-06-01
Dallas,2016-2017,1.15,2017-06-01
Dallas,2017-2018,1.36,2018-06-01
Dallas,2010-2011,0.57,2011-06-01
Dallas,2014-2015,0.89,2015-06-01
Dallas,2018-2019,1.83,2019-06-01
Dallas,2011-2012,0.54,2012-06-01
Dallas,2013-2014,0.83,2014-06-01
Dallas,2015-2016,0.84,2016-06-01
Dallas,2019-2020,1.95,2020-06-01
Dawson,2018-2019,5.37,2019-06-01
Dawson,2011-2012,0.47,2012-06-01
Dawson,2010-2011,0,2011-06-01
Dawson,2017-2018,1.44,2018-06-01
Dawson,2014-2015,1.35,2015-06-01
Dawson,2016-2017,1.57,2017-06-01
Dawson,2015-2016,1.01,2016-06-01
Dawson,2012-2013,0.39,2013-06-01
Dawson,2013-2014,0.49,2014-06-01
Dawson,2019-2020,7.64,2020-06-01
DeWitt,2016-2017,1.97,2017-06-01
DeWitt,2013-2014,0,2014-06-01
DeWitt,2011-2012,0.9,2012-06-01
DeWitt,2014-2015,0.82,2015-06-01
DeWitt,2012-2013,0.89,2013-06-01
DeWitt,2017-2018,0.5,2018-06-01
DeWitt,2010-2011,0.56,2011-06-01
DeWitt,2018-2019,0.5,2019-06-01
DeWitt,2015-2016,1.5,2016-06-01
DeWitt,2019-2020,0.48,2020-06-01
Deaf Smith,2013-2014,0.27,2014-06-01
Deaf Smith,2010-2011,0,2011-06-01
Deaf Smith,2014-2015,0,2015-06-01
Deaf Smith,2015-2016,0,2016-06-01
Deaf Smith,2019-2020,0,2020-06-01
Deaf Smith,2011-2012,0.26,2012-06-01
Deaf Smith,2016-2017,0,2017-06-01
Deaf Smith,2012-2013,0,2013-06-01
Deaf Smith,2018-2019,0.91,2019-06-01
Deaf Smith,2017-2018,0.33,2018-06-01
Delta,2014-2015,0,2015-06-01
Delta,2019-2020,1.69,2020-06-01
Delta,2016-2017,1.78,2017-06-01
Delta,2015-2016,5.26,2016-06-01
Delta,2012-2013,0,2013-06-01
Delta,2018-2019,1.85,2019-06-01
Delta,2011-2012,3.63,2012-06-01
Delta,2010-2011,0,2011-06-01
Delta,2017-2018,0,2018-06-01
Delta,2013-2014,0,2014-06-01
Denton,2012-2013,4.52,2013-06-01
Denton,2017-2018,4.72,2018-06-01
Denton,2011-2012,4.8,2012-06-01
Denton,2010-2011,1.96,2011-06-01
Denton,2019-2020,4.65,2020-06-01
Denton,2016-2017,3.91,2017-06-01
Denton,2018-2019,5.29,2019-06-01
Denton,2013-2014,9.22,2014-06-01
Denton,2014-2015,3.4,2015-06-01
Denton,2015-2016,3.5,2016-06-01
Dickens,2018-2019,0,2019-06-01
Dickens,2012-2013,8.33,2013-06-01
Dickens,2015-2016,0,2016-06-01
Dickens,2013-2014,0,2014-06-01
Dickens,2019-2020,0,2020-06-01
Dickens,2016-2017,0,2017-06-01
Dickens,2010-2011,0,2011-06-01
Dickens,2011-2012,0,2012-06-01
Dickens,2014-2015,0,2015-06-01
Dickens,2017-2018,0,2018-06-01
Dimmit,2016-2017,0,2017-06-01
Dimmit,2010-2011,0,2011-06-01
Dimmit,2014-2015,0,2015-06-01
Dimmit,2018-2019,0,2019-06-01
Dimmit,2011-2012,0,2012-06-01
Dimmit,2012-2013,0,2013-06-01
Dimmit,2017-2018,0,2018-06-01
Dimmit,2019-2020,0,2020-06-01
Dimmit,2015-2016,0,2016-06-01
Dimmit,2013-2014,0.47,2014-06-01
Donley,2017-2018,2.5,2018-06-01
Donley,2018-2019,0,2019-06-01
Donley,2010-2011,0,2011-06-01
Donley,2019-2020,0,2020-06-01
Donley,2016-2017,2.5,2017-06-01
Donley,2015-2016,0,2016-06-01
Donley,2013-2014,0,2014-06-01
Donley,2012-2013,4.16,2013-06-01
Donley,2011-2012,0,2012-06-01
Donley,2014-2015,3.77,2015-06-01
Duval,2012-2013,0,2013-06-01
Duval,2014-2015,0,2015-06-01
Duval,2015-2016,0,2016-06-01
Duval,2018-2019,0,2019-06-01
Duval,2019-2020,1.25,2020-06-01
Duval,2010-2011,0,2011-06-01
Duval,2016-2017,0,2017-06-01
Duval,2011-2012,0,2012-06-01
Duval,2013-2014,0,2014-06-01
Duval,2017-2018,0.53,2018-06-01
Eastland,2014-2015,0.87,2015-06-01
Eastland,2018-2019,4.92,2019-06-01
Eastland,2011-2012,0,2012-06-01
Eastland,2012-2013,2.66,2013-06-01
Eastland,2013-2014,2.24,2014-06-01
Eastland,2019-2020,2.51,2020-06-01
Eastland,2015-2016,2.8,2016-06-01
Eastland,2016-2017,2.98,2017-06-01
Eastland,2010-2011,1.8,2011-06-01
Eastland,2017-2018,5.55,2018-06-01
Ector,2017-2018,0.82,2018-06-01
Ector,2013-2014,0.85,2014-06-01
Ector,2014-2015,0.9,2015-06-01
Ector,2010-2011,0.33,2011-06-01
Ector,2011-2012,0.47,2012-06-01
Ector,2018-2019,1.31,2019-06-01
Ector,2016-2017,1.06,2017-06-01
Ector,2019-2020,1.11,2020-06-01
Ector,2015-2016,1.15,2016-06-01
Ector,2012-2013,0.47,2013-06-01
Edwards,2012-2013,0,2013-06-01
Edwards,2010-2011,4.34,2011-06-01
Edwards,2016-2017,2.27,2017-06-01
Edwards,2014-2015,0,2015-06-01
Edwards,2015-2016,0,2016-06-01
Edwards,2019-2020,4.25,2020-06-01
Edwards,2011-2012,0,2012-06-01
Edwards,2018-2019,2.08,2019-06-01
Edwards,2017-2018,0,2018-06-01
Edwards,2013-2014,0,2014-06-01
El Paso,2018-2019,0.62,2019-06-01
El Paso,2014-2015,1.15,2015-06-01
El Paso,2019-2020,0.74,2020-06-01
El Paso,2016-2017,0.38,2017-06-01
El Paso,2010-2011,0.71,2011-06-01
El Paso,2013-2014,1.09,2014-06-01
El Paso,2015-2016,1.14,2016-06-01
El Paso,2011-2012,0.81,2012-06-01
El Paso,2012-2013,0.88,2013-06-01
El Paso,2017-2018,0.53,2018-06-01
Ellis,2014-2015,1.75,2015-06-01
Ellis,2015-2016,1.6,2016-06-01
Ellis,2011-2012,1.25,2012-06-01
Ellis,2019-2020,3.4,2020-06-01
Ellis,2010-2011,1.13,2011-06-01
Ellis,2017-2018,2.82,2018-06-01
Ellis,2012-2013,1.21,2013-06-01
Ellis,2016-2017,1.92,2017-06-01
Ellis,2018-2019,2.89,2019-06-01
Ellis,2013-2014,1.29,2014-06-01
Erath,2011-2012,0.21,2012-06-01
Erath,2016-2017,1.16,2017-06-01
Erath,2014-2015,0.71,2015-06-01
Erath,2015-2016,0.95,2016-06-01
Erath,2018-2019,1.55,2019-06-01
Erath,2010-2011,0,2011-06-01
Erath,2019-2020,2.83,2020-06-01
Erath,2017-2018,2.31,2018-06-01
Erath,2013-2014,0.97,2014-06-01
Erath,2012-2013,1.11,2013-06-01
Falls,2010-2011,0,2011-06-01
Falls,2019-2020,1.66,2020-06-01
Falls,2013-2014,0,2014-06-01
Falls,2016-2017,1.24,2017-06-01
Falls,2017-2018,0.57,2018-06-01
Falls,2014-2015,0,2015-06-01
Falls,2018-2019,0.65,2019-06-01
Falls,2012-2013,0,2013-06-01
Falls,2011-2012,0.95,2012-06-01
Falls,2015-2016,1.12,2016-06-01
Fannin,2010-2011,0.69,2011-06-01
Fannin,2018-2019,4.26,2019-06-01
Fannin,2017-2018,2.62,2018-06-01
Fannin,2011-2012,1.03,2012-06-01
Fannin,2016-2017,3.09,2017-06-01
Fannin,2015-2016,1.08,2016-06-01
Fannin,2014-2015,1.56,2015-06-01
Fannin,2019-2020,3.91,2020-06-01
Fannin,2013-2014,1.2,2014-06-01
Fannin,2012-2013,1.49,2013-06-01
Fayette,2019-2020,1.42,2020-06-01
Fayette,2016-2017,1.32,2017-06-01
Fayette,2010-2011,0.74,2011-06-01
Fayette,2015-2016,1.05,2016-06-01
Fayette,2018-2019,1.45,2019-06-01
Fayette,2013-2014,0.67,2014-06-01
Fayette,2011-2012,2.23,2012-06-01
Fayette,2012-2013,0.35,2013-06-01
Fayette,2017-2018,0,2018-06-01
Fayette,2014-2015,0.32,2015-06-01
Fisher,2010-2011,2.38,2011-06-01
Fisher,2013-2014,0,2014-06-01
Fisher,2011-2012,0,2012-06-01
Fisher,2015-2016,0,2016-06-01
Fisher,2016-2017,0,2017-06-01
Fisher,2017-2018,0,2018-06-01
Fisher,2018-2019,2.32,2019-06-01
Fisher,2012-2013,0,2013-06-01
Fisher,2019-2020,0,2020-06-01
Floyd,2013-2014,0,2014-06-01
Floyd,2017-2018,0,2018-06-01
Floyd,2011-2012,0,2012-06-01
Floyd,2010-2011,0,2011-06-01
Floyd,2015-2016,2.24,2016-06-01
Floyd,2016-2017,1.12,2017-06-01
Floyd,2019-2020,0,2020-06-01
Floyd,2014-2015,0,2015-06-01
Floyd,2018-2019,0,2019-06-01
Floyd,2012-2013,0,2013-06-01
Foard,2016-2017,0,2017-06-01
Foard,2013-2014,0,2014-06-01
Foard,2011-2012,0,2012-06-01
Foard,2018-2019,0,2019-06-01
Foard,2019-2020,0,2020-06-01
Foard,2010-2011,0,2011-06-01
Foard,2015-2016,0,2016-06-01
Foard,2017-2018,0,2018-06-01
Foard,2012-2013,0,2013-06-01
Foard,2014-2015,0,2015-06-01
Fort Bend,2015-2016,0.81,2016-06-01
Fort Bend,2019-2020,0.76,2020-06-01
Fort Bend,2014-2015,0.82,2015-06-01
Fort Bend,2016-2017,0.93,2017-06-01
Fort Bend,2013-2014,0.94,2014-06-01
Fort Bend,2011-2012,0.73,2012-06-01
Fort Bend,2012-2013,0.81,2013-06-01
Fort Bend,2017-2018,0.97,2018-06-01
Fort Bend,2018-2019,1.35,2019-06-01
Fort Bend,2010-2011,0.66,2011-06-01
Franklin,2010-2011,0.74,2011-06-01
Franklin,2018-2019,2.15,2019-06-01
Franklin,2014-2015,1.43,2015-06-01
Franklin,2017-2018,0,2018-06-01
Franklin,2011-2012,1.55,2012-06-01
Franklin,2015-2016,2.27,2016-06-01
Franklin,2019-2020,0.98,2020-06-01
Franklin,2016-2017,2.45,2017-06-01
Franklin,2013-2014,0.67,2014-06-01
Franklin,2012-2013,0.74,2013-06-01
Freestone,2013-2014,1.71,2014-06-01
Freestone,2010-2011,1.08,2011-06-01
Freestone,2016-2017,1.9,2017-06-01
Freestone,2018-2019,2.97,2019-06-01
Freestone,2015-2016,1.25,2016-06-01
Freestone,2017-2018,2.55,2018-06-01
Freestone,2012-2013,1.27,2013-06-01
Freestone,2014-2015,1.5,2015-06-01
Freestone,2011-2012,1.36,2012-06-01
Freestone,2019-2020,2.14,2020-06-01
Frio,2017-2018,0.46,2018-06-01
Frio,2011-2012,0,2012-06-01
Frio,2016-2017,0,2017-06-01
Frio,2015-2016,0,2016-06-01
Frio,2013-2014,0.35,2014-06-01
Frio,2019-2020,1.4,2020-06-01
Frio,2010-2011,0,2011-06-01
Frio,2012-2013,0,2013-06-01
Frio,2014-2015,0.4,2015-06-01
Frio,2018-2019,0,2019-06-01
Gaines,2010-2011,5.78,2011-06-01
Gaines,2019-2020,18.84,2020-06-01
Gaines,2017-2018,18.21,2018-06-01
Gaines,2011-2012,5.16,2012-06-01
Gaines,2016-2017,13.09,2017-06-01
Gaines,2012-2013,8.14,2013-06-01
Gaines,2014-2015,9.68,2015-06-01
Gaines,2015-2016,8.62,2016-06-01
Gaines,2013-2014,7.44,2014-06-01
Gaines,2018-2019,16.98,2019-06-01
Galveston,2012-2013,1.3,2013-06-01
Galveston,2013-2014,1.76,2014-06-01
Galveston,2014-2015,1.87,2015-06-01
Galveston,2010-2011,1.16,2011-06-01
Galveston,2019-2020,2.37,2020-06-01
Galveston,2015-2016,1.54,2016-06-01
Galveston,2016-2017,1.8,2017-06-01
Galveston,2018-2019,2.39,2019-06-01
Galveston,2017-2018,2.34,2018-06-01
Galveston,2011-2012,1.34,2012-06-01
Garza,2016-2017,0,2017-06-01
Garza,2014-2015,1.11,2015-06-01
Garza,2013-2014,0,2014-06-01
Garza,2012-2013,1.14,2013-06-01
Garza,2018-2019,2.12,2019-06-01
Garza,2019-2020,3.03,2020-06-01
Garza,2017-2018,0,2018-06-01
Garza,2011-2012,0,2012-06-01
Garza,2015-2016,1.81,2016-06-01
Garza,2010-2011,0,2011-06-01
Gillespie,2019-2020,6.16,2020-06-01
Gillespie,2014-2015,1.77,2015-06-01
Gillespie,2012-2013,3.41,2013-06-01
Gillespie,2015-2016,2,2016-06-01
Gillespie,2018-2019,9.67,2019-06-01
Gillespie,2010-2011,0.71,2011-06-01
Gillespie,2017-2018,5.95,2018-06-01
Gillespie,2011-2012,1.2,2012-06-01
Gillespie,2016-2017,2.41,2017-06-01
Gillespie,2013-2014,1.03,2014-06-01
Glasscock,2018-2019,5,2019-06-01
Glasscock,2016-2017,0,2017-06-01
Glasscock,2014-2015,0,2015-06-01
Glasscock,2015-2016,0,2016-06-01
Glasscock,2013-2014,0,2014-06-01
Glasscock,2010-2011,0,2011-06-01
Glasscock,2012-2013,0,2013-06-01
Glasscock,2017-2018,4.34,2018-06-01
Glasscock,2019-2020,5,2020-06-01
Glasscock,2011-2012,0,2012-06-01
Goliad,2016-2017,0,2017-06-01
Goliad,2011-2012,0,2012-06-01
Goliad,2012-2013,0.95,2013-06-01
Goliad,2015-2016,1.13,2016-06-01
Goliad,2019-2020,2.56,2020-06-01
Goliad,2017-2018,1.36,2018-06-01
Goliad,2013-2014,0.99,2014-06-01
Goliad,2010-2011,2.56,2011-06-01
Goliad,2018-2019,2.08,2019-06-01
Goliad,2014-2015,0,2015-06-01
Gonzales,2019-2020,1.15,2020-06-01
Gonzales,2015-2016,0.66,2016-06-01
Gonzales,2016-2017,0.34,2017-06-01
Gonzales,2012-2013,0.3,2013-06-01
Gonzales,2011-2012,0.83,2012-06-01
Gonzales,2018-2019,0.98,2019-06-01
Gonzales,2014-2015,0,2015-06-01
Gonzales,2010-2011,0,2011-06-01
Gonzales,2013-2014,0.31,2014-06-01
Gonzales,2017-2018,1.11,2018-06-01
Gray,2011-2012,0.56,2012-06-01
Gray,2019-2020,0.7,2020-06-01
Gray,2017-2018,1.35,2018-06-01
Gray,2018-2019,1.48,2019-06-01
Gray,2012-2013,0.29,2013-06-01
Gray,2015-2016,0.34,2016-06-01
Gray,2013-2014,0,2014-06-01
Gray,2014-2015,0.27,2015-06-01
Gray,2016-2017,0.74,2017-06-01
Gray,2010-2011,0.59,2011-06-01
Grayson,2010-2011,0.78,2011-06-01
Grayson,2018-2019,2.93,2019-06-01
Grayson,2013-2014,1.16,2014-06-01
Grayson,2017-2018,1.68,2018-06-01
Grayson,2014-2015,1.64,2015-06-01
Grayson,2011-2012,0.9,2012-06-01
Grayson,2012-2013,1.67,2013-06-01
Grayson,2015-2016,1.93,2016-06-01
Grayson,2016-2017,1.98,2017-06-01
Grayson,2019-2020,3.42,2020-06-01
Gregg,2011-2012,1.28,2012-06-01
Gregg,2010-2011,1.02,2011-06-01
Gregg,2014-2015,0.92,2015-06-01
Gregg,2016-2017,0.87,2017-06-01
Gregg,2013-2014,0.81,2014-06-01
Gregg,2018-2019,2,2019-06-01
Gregg,2019-2020,2.19,2020-06-01
Gregg,2012-2013,2.15,2013-06-01
Gregg,2015-2016,1.63,2016-06-01
Gregg,2017-2018,1.62,2018-06-01
Grimes,2017-2018,1.32,2018-06-01
Grimes,2013-2014,0.88,2014-06-01
Grimes,2011-2012,0.29,2012-06-01
Grimes,2015-2016,2.55,2016-06-01
Grimes,2016-2017,1.49,2017-06-01
Grimes,2014-2015,0.3,2015-06-01
Grimes,2012-2013,0,2013-06-01
Grimes,2010-2011,0,2011-06-01
Grimes,2019-2020,2.11,2020-06-01
Grimes,2018-2019,2.2,2019-06-01
Guadalupe,2012-2013,1.19,2013-06-01
Guadalupe,2015-2016,1.53,2016-06-01
Guadalupe,2013-2014,1.18,2014-06-01
Guadalupe,2017-2018,1.67,2018-06-01
Guadalupe,2018-2019,1.71,2019-06-01
Guadalupe,2011-2012,0.82,2012-06-01
Guadalupe,2010-2011,0.84,2011-06-01
Guadalupe,2019-2020,1.85,2020-06-01
Guadalupe,2016-2017,1.56,2017-06-01
Guadalupe,2014-2015,1.32,2015-06-01
Hale,2018-2019,1.44,2019-06-01
Hale,2015-2016,0,2016-06-01
Hale,2016-2017,1.18,2017-06-01
Hale,2017-2018,0.38,2018-06-01
Hale,2019-2020,1.38,2020-06-01
Hale,2014-2015,1.16,2015-06-01
Hale,2010-2011,0.3,2011-06-01
Hale,2012-2013,0.15,2013-06-01
Hale,2011-2012,0.49,2012-06-01
Hale,2013-2014,0.17,2014-06-01
Hall,2015-2016,0,2016-06-01
Hall,2011-2012,0,2012-06-01
Hall,2016-2017,0,2017-06-01
Hall,2012-2013,0,2013-06-01
Hall,2013-2014,0,2014-06-01
Hall,2017-2018,0,2018-06-01
Hall,2014-2015,0,2015-06-01
Hall,2019-2020,2.27,2020-06-01
Hall,2018-2019,0,2019-06-01
Hall,2010-2011,0,2011-06-01
Hamilton,2012-2013,6.06,2013-06-01
Hamilton,2018-2019,4.54,2019-06-01
Hamilton,2011-2012,0,2012-06-01
Hamilton,2010-2011,3.52,2011-06-01
Hamilton,2014-2015,0,2015-06-01
Hamilton,2016-2017,0.98,2017-06-01
Hamilton,2013-2014,2.8,2014-06-01
Hamilton,2019-2020,0,2020-06-01
Hamilton,2017-2018,2.83,2018-06-01
Hamilton,2015-2016,1.05,2016-06-01
Hansford,2019-2020,1.94,2020-06-01
Hansford,2017-2018,4,2018-06-01
Hansford,2016-2017,1.14,2017-06-01
Hansford,2013-2014,1.8,2014-06-01
Hansford,2018-2019,0,2019-06-01
Hansford,2014-2015,2.24,2015-06-01
Hansford,2015-2016,0,2016-06-01
Hansford,2011-2012,0.95,2012-06-01
Hansford,2012-2013,0.96,2013-06-01
Hansford,2010-2011,0.76,2011-06-01
Hardeman,2014-2015,2.27,2015-06-01
Hardeman,2016-2017,5.26,2017-06-01
Hardeman,2018-2019,2.12,2019-06-01
Hardeman,2013-2014,0,2014-06-01
Hardeman,2019-2020,3.22,2020-06-01
Hardeman,2017-2018,0,2018-06-01
Hardeman,2012-2013,1.75,2013-06-01
Hardeman,2010-2011,1.63,2011-06-01
Hardeman,2011-2012,0,2012-06-01
Hardeman,2015-2016,2.08,2016-06-01
Hardin,2017-2018,1.85,2018-06-01
Hardin,2013-2014,1.23,2014-06-01
Hardin,2016-2017,2.2,2017-06-01
Hardin,2014-2015,0,2015-06-01
Hardin,2010-2011,1.42,2011-06-01
Hardin,2011-2012,0.74,2012-06-01
Hardin,2018-2019,4.72,2019-06-01
Hardin,2019-2020,3.03,2020-06-01
Hardin,2012-2013,0.85,2013-06-01
Hardin,2015-2016,1.23,2016-06-01
Harris,2019-2020,1.5,2020-06-01
Harris,2017-2018,1.35,2018-06-01
Harris,2010-2011,0.54,2011-06-01
Harris,2013-2014,0.83,2014-06-01
Harris,2018-2019,1.52,2019-06-01
Harris,2016-2017,1.06,2017-06-01
Harris,2012-2013,0.73,2013-06-01
Harris,2011-2012,0.61,2012-06-01
Harris,2015-2016,0.86,2016-06-01
Harris,2014-2015,0.85,2015-06-01
Harrison,2011-2012,0.67,2012-06-01
Harrison,2014-2015,0.76,2015-06-01
Harrison,2018-2019,1.21,2019-06-01
Harrison,2012-2013,0.56,2013-06-01
Harrison,2017-2018,1.33,2018-06-01
Harrison,2016-2017,0.95,2017-06-01
Harrison,2015-2016,0.71,2016-06-01
